agent_binary,subj_lemma,pred_lemma,obj_lemma,action_lemma,pattern,voice,ai_in_obl,ai_obl_hits,freq,n_transcripts,n_sections,n_clusters,triplet_sig,examples,examples_ctx,ai_in_ctx
,I,have,,go,SVxCOMP,ACT,,,2,2,2,1,I :: have ::  :: go,I had → go ||| I have → go,I had → go  || ctx: but I still had to go in ||| I have → go  || ctx: I did n't have to go through,FALSE
HUMAN,I,have,,make,SVxCOMP,ACT,,,2,2,1,2,I :: have ::  :: make,I had → make ||| I have → make,I had → make  || ctx: I had to make sure ||| I have → make  || ctx: but I still have to make the,FALSE
AI,I,have,AI,do,SVOxCOMP,ACT,,,2,2,2,1,I :: have :: AI :: do,I have the AI → do ||| me have the AI → do,I have the AI → do  || ctx: I do n't have the AI actually ||| me have the AI → do  || ctx: for me to have the AI do,TRUE
HUMAN,I,have,background,,SVO,ACT,,,2,2,1,2,I :: have :: background,I have a background philosophy ||| I have the coding background,I have a background philosophy  || ctx: I have a background in ||| I have the coding background  || ctx: because I do have the coding background,FALSE
,I,have,image,,SVO,ACT,,,2,2,1,2,I :: have :: image,I have a 2D image ||| I have the core image,I have a 2D image  || ctx: from which I have a 2D image ||| I have the core image  || ctx: few revisions I have the core image,FALSE
HUMAN,I,have,knowledge,,SVO,ACT,,,2,2,2,1,I :: have :: knowledge,I have the knowledge ||| I have no previous knowledge understanding,I have the knowledge  || ctx: I did n't have the knowledge to ||| I have no previous knowledge understanding  || ctx: topic that I have no previous knowledge,FALSE
,I,have,name,,SVO,ACT,,,2,2,2,2,I :: have :: name,I had placeholder names ||| I have some pen names,I had placeholder names  || ctx: I had placeholder names for ||| I have some pen names  || ctx: But I do have some pen names,FALSE
HUMAN,I,lead,process,,SVO,ACT,,,2,2,1,1,I :: lead :: process,I lead the creative process ||| I lead the process,"I lead the creative process  || ctx: spaces , I lead the creative process ||| I lead the process  || ctx: would say I lead the process even",FALSE
AI,I,lean,,,SV,ACT,TRUE,ai,2,2,1,1,I :: lean ::,I lean,I lean  || ctx: is where I lean heavily on AI ||| I lean  || ctx: I usually lean on AI for,TRUE
,I,like,,get,SVxCOMP,ACT,,,2,2,2,1,I :: like ::  :: get,I like → get,"I like → get  || ctx: I mostly like to get unique ||| I like → get  || ctx: , but I like to get ideas",FALSE
,I,like,,take,SVxCOMP,ACT,,,2,2,2,2,I :: like ::  :: take,I like → taking ||| I like → take,I like → taking  || ctx: I like taking an idea ||| I like → take  || ctx: direction I 'd like to take it,FALSE
,I,like,that,,SVO,ACT,,,2,2,2,2,I :: like :: that,I liked that ||| I like that,I liked that  || ctx: ideas that I liked . ||| I like that  || ctx: that I really like was having that,FALSE
,I,lose,track,,SVO,ACT,,,2,2,1,2,I :: lose :: track,I lose track,I lose track  || ctx: projects I might lose track of otherwise ||| I lose track  || ctx: I do n't lose track .,FALSE
HUMAN,I,make,that,,SVO,ACT,,,2,2,1,2,I :: make :: that,I made that,I made that  || ctx: would not have made otherwise . ||| I made that  || ctx: video that I made for TikTok .,FALSE
HUMAN,I,need,,make,SVxCOMP,ACT,,,2,2,2,1,I :: need ::  :: make,I needed → make ||| I need → make,I needed → make  || ctx: of inspiration I needed to make another ||| I need → make  || ctx: define what I need to make or,FALSE
HUMAN,I,need,,write,SVxCOMP,ACT,,,2,2,2,2,I :: need ::  :: write,I needed → write ||| I need → write,I needed → write  || ctx: I needed to write 12 ||| I need → write  || ctx: inorganic when I need to constantly write,FALSE
HUMAN,I,plan,,use,SVxCOMP,ACT,,,2,2,2,2,I :: plan ::  :: use,I planning → use ||| I plan → use,"I planning → use  || ctx: that I 'm planning to use in ||| I plan → use  || ctx: / hooks I plan to use ,",FALSE
,I,prefer,,use,SVxCOMP,ACT,,,2,2,2,2,I :: prefer ::  :: use,I prefer → use,I prefer → use  || ctx: Rather I prefer to use it ||| I prefer → use  || ctx: I prefer to use it,FALSE
AI,I,provide,it,,SVO,ACT,,,2,2,2,2,I :: provide :: it,I provided it ||| I provide it,"I provided it  || ctx: I also provided it with an ||| I provide it  || ctx: , I always provide it with feedback",FALSE
,I,pull,idea,,SVO,ACT,,,2,2,2,2,I :: pull :: idea,me pull creative ideas ||| I pull AI ideas,me pull creative ideas  || ctx: for me to pull creative ideas out ||| I pull AI ideas  || ctx: I did n't pull straight up AI,TRUE
,I,read,it,,SVO,ACT,,,2,2,1,2,I :: read :: it,I read it,"I read it  || ctx: I have not read it , so ||| I read it  || ctx: , I can read it and if",FALSE
,I,read,that,,SVO,ACT,,,2,2,2,1,I :: read :: that,I read that,"I read that  || ctx: fiction that I read . ||| I read that  || ctx: that I 've read from philosophy ,",FALSE
,I,run,that,,SVO,ACT,,,2,2,2,1,I :: run :: that,I running that ||| I run that,I running that  || ctx: I would be running for 4 players ||| I run that  || ctx: that I can run in Neverwinter for,FALSE
,I,send,it,,SVO,ACT,,,2,2,1,2,I :: send :: it,I sent it ||| I send it,"I sent it  || ctx: script , I sent it to the ||| I send it  || ctx: From there I send it to the",FALSE
,I,send,they,,SVO,ACT,,,2,2,2,2,I :: send :: they,I sent them ||| I send them,"I sent them  || ctx: ( since I sent them to Switzerland ||| I send them  || ctx: there , I send them the track",FALSE
HUMAN,I,spend,amount,,SVO,ACT,,,2,2,2,1,I :: spend :: amount,I spent a substantial amount time ||| I spend extensive amounts time,I spent a substantial amount time  || ctx: I spent a substantial amount ||| I spend extensive amounts time  || ctx: I will spend extensive amounts of,FALSE
,I,spend,lot,,SVO,ACT,,,2,2,2,2,I :: spend :: lot,I spending a lot time ||| I spend a lot time,"I spending a lot time  || ctx: , I was spending a lot of ||| I spend a lot time  || ctx: Could I spend a lot of",FALSE
AI,I,start,,use,SVxCOMP,ACT,,,2,2,2,1,I :: start ::  :: use,I started → using ||| I start → use,I started → using  || ctx: Since I started using AI tools ||| I start → use  || ctx: When I start to use the,TRUE
,I,tap,,,SV,ACT,TRUE,ai,2,2,1,2,I :: tap ::,I tap,I tap  || ctx: I can often tap into what it ||| I tap  || ctx: I will tap into an AI,TRUE
AI,I,tell,what,,SVO,ACT,,,2,2,2,2,I :: tell :: what,I told what for ||| I tell what for,I told what for  || ctx: once I 've told the AI what ||| I tell what for  || ctx: I can tell it what I,TRUE
AI,I,tend,,use,SVxCOMP,ACT,,,2,2,1,2,I :: tend ::  :: use,I tend → use,"I tend → use  || ctx: Also , I tend to use ChatGPT ||| I tend → use  || ctx: store , I tend not to use",TRUE
,I,think,,work,SVxCOMP,ACT,,,2,2,1,2,I :: think ::  :: work,I think → works ||| I think → work,I think → works  || ctx: I think the collaboration during ||| I think → work  || ctx: I think usually we work,FALSE
,I,think,which,,SVO,ACT,,,2,2,1,2,I :: think :: which,I thought which about ||| I think which,"I thought which about  || ctx: had n't even thought about . ||| I think which  || ctx: , which I think is an OK",FALSE
,I,try,,do,SVxCOMP,ACT,,,2,2,1,2,I :: try ::  :: do,I trying → do,I trying → do  || ctx: everything I 'm trying to do . ||| I trying → do  || ctx: I was trying to do research,FALSE
,I,try,,say,SVxCOMP,ACT,,,2,2,2,2,I :: try ::  :: say,I trying → say,"I trying → say  || ctx: what I 'm trying to say , ||| I trying → say  || ctx: what I am trying to say to",FALSE
,I,try,it,,SVO,ACT,,,2,2,2,2,I :: try :: it,I tried it,I tried it  || ctx: I 've tried it a little ||| I tried it  || ctx: I 've only tried it probably twice,FALSE
AI,I,try,model,,SVO,ACT,,,2,2,2,2,I :: try :: model,I tried multiple different AI models ||| I tried a few different models,I tried multiple different AI models  || ctx: I 've tried multiple different AI ||| I tried a few different models  || ctx: I 've tried a few different,TRUE
,I,upload,image,,SVO,ACT,,,2,2,2,1,I :: upload :: image,I uploaded the image ||| I upload the image,I uploaded the image  || ctx: I uploaded the image to ||| I upload the image  || ctx: ( I 'd upload the image ),FALSE
AI,I,use,AI,brainstorm,SVOxCOMP,ACT,,,2,2,1,2,I :: use :: AI :: brainstorm,I used AI → brainstorm,"I used AI → brainstorm  || ctx: I used AI to brainstorm ||| I used AI → brainstorm  || ctx: So , I used AI to brainstorm",TRUE
AI,I,use,chatgpt,,SVO,ACT,,,2,2,2,2,I :: use :: chatgpt,I use chatgpt ||| I used chatgpt,"I use chatgpt  || ctx: , I either use chatgpt or some ||| I used chatgpt  || ctx: I used chatgpt to find",TRUE
,I,use,information,,SVO,ACT,,,2,2,2,2,I :: use :: information,I use this information ||| I use that information,I use this information  || ctx: I will then use this information as ||| I use that information  || ctx: I use that information and,FALSE
,I,use,it,do,SVOxCOMP,ACT,,,2,2,1,2,I :: use :: it :: do,I used it → do ||| I using it → do,I used it → do  || ctx: I 've primarily used it to do ||| I using it → do  || ctx: I 've been using it to do,FALSE
AI,I,use,it,generate,SVOxCOMP,ACT,,,2,2,2,2,I :: use :: it :: generate,I used it → generate,I used it → generate  || ctx: I 've also used it to generate ||| I used it → generate  || ctx: I also used it to generate,FALSE
AI,I,use,most,,SVO,ACT,,,2,2,2,1,I :: use :: most,I use most ||| I use most ideas,I use most  || ctx: would say I use AI most in ||| I use most ideas  || ctx: I did n't use most of the,TRUE
AI,I,use,much,,SVO,ACT,,,2,2,2,2,I :: use :: much,I use much ||| I using much,I use much  || ctx: I will not use AI much during ||| I using much  || ctx: much I 'm using the tool .,TRUE
AI,I,use,response,,SVO,ACT,,,2,2,2,2,I :: use :: response,I use AI responses ||| I used its response,"I use AI responses  || ctx: I use AI responses the ||| I used its response  || ctx: , and I used its response to",TRUE
,I,use,something,,SVO,ACT,,,2,2,2,2,I :: use :: something,I uses something photoshop ||| I use something,"I uses something photoshop  || ctx: , I will uses something like photoshop ||| I use something  || ctx: certainly would n't use something that ca",FALSE
,I,use,this,,SVO,ACT,,,2,2,1,2,I :: use :: this,I use this,I use this  || ctx: Then I can use this to turn ||| I use this  || ctx: And I only use this for blogging,FALSE
AI,I,utilize,AI,,SVO,ACT,,,2,2,2,1,I :: utilize :: AI,I utilize AI ||| I utilized AI,I utilize AI  || ctx: I mostly utilize AI for any ||| I utilized AI  || ctx: but I 've utilized AI quite a,TRUE
HUMAN,I,want,,find,SVxCOMP,ACT,,,2,2,2,2,I :: want ::  :: find,I wanted → find ||| I want → find,I wanted → find  || ctx: characters and I wanted to find ways ||| I want → find  || ctx: And I want to find novel,FALSE
HUMAN,I,want,,give,SVxCOMP,ACT,,,2,2,1,2,I :: want ::  :: give,I want → give,I want → give  || ctx: I do n't want to give up ||| I want → give  || ctx: traits I may want to give an,FALSE
HUMAN,I,want,,produce,SVxCOMP,ACT,,,2,2,2,1,I :: want ::  :: produce,I want → produce ||| I wanted → produce,I want → produce  || ctx: things that I want to produce with ||| I wanted → produce  || ctx: the things I wanted to produce because,FALSE
HUMAN,I,want,,take,SVxCOMP,ACT,,,2,2,1,2,I :: want ::  :: take,I want → take,I want → take  || ctx: / do n't want to take . ||| I want → take  || ctx: the direction I want to take .,FALSE
HUMAN,I,want,,use,SVxCOMP,ACT,,,2,2,1,1,I :: want ::  :: use,I wanted → use,I wanted → use  || ctx: the terms I wanted to use and ||| I wanted → use  || ctx: the images I wanted to use .,FALSE
HUMAN,I,write,lot,,SVO,ACT,,,2,2,2,1,I :: write :: lot,I write a lot things ||| I write a lot,"I write a lot things  || ctx: I write a lot of ||| I write a lot  || ctx: , I could write a lot about",FALSE
HUMAN,I,write,scene,,SVO,ACT,,,2,2,2,1,I :: write :: scene,I write a scene ||| I writing a scene,"I write a scene  || ctx: , I 'll write a scene and ||| I writing a scene  || ctx: I was writing a scene in",FALSE
HUMAN,I,write,that,,SVO,ACT,,,2,2,1,2,I :: write :: that,I written that ||| I wrote that,I written that  || ctx: that I 've written or help find ||| I wrote that  || ctx: book that I wrote myself over 10,FALSE
,we,discuss,idea,,SVO,ACT,,,2,2,2,2,we :: discuss :: idea,we discussing an idea ||| we discussed mythology ideas,we discussing an idea  || ctx: we might be discussing an idea and ||| we discussed mythology ideas  || ctx: and so we discussed mythology ideas and,FALSE
AI,I,ask,it,create,SVOxCOMP,ACT,,,2,1,2,1,I :: ask :: it :: create,I ask it → create ||| I asked it → create,I ask it → create  || ctx: I would ask it to create ||| I asked it → create  || ctx: I then asked it to create,FALSE
HUMAN,I,ask,question,,SVO,ACT,,,2,1,2,1,I :: ask :: question,I asked questions person ||| I ask the questions,I asked questions person  || ctx: also I have asked questions about a ||| I ask the questions  || ctx: 's because I ask the questions in,FALSE
HUMAN,I,catch,hallucination,,SVO,ACT,,,2,1,1,1,I :: catch :: hallucination,I caught many hallucinations research ||| I catch a hallucination,I caught many hallucinations research  || ctx: I 've caught many hallucinations in ||| I catch a hallucination  || ctx: When I catch a hallucination and,FALSE
HUMAN,I,decide,,need,SVxCOMP,ACT,,,2,1,1,1,I :: decide ::  :: need,I decided → needs,I decided → needs  || ctx: I have I decided it needs to,FALSE
,I,describe,collaboration,,SVO,ACT,,,2,1,1,1,I :: describe :: collaboration,I describe the collaboration,"I describe the collaboration  || ctx: , I would describe the collaboration as",FALSE
AI,I,feed,article,,SVO,ACT,,,2,1,2,1,I :: feed :: article,I feed the finished article ||| I fed the complete articles,I feed the finished article  || ctx: I may also feed the finished article ||| I fed the complete articles  || ctx: I fed the almost complete,FALSE
HUMAN,I,know,how,,SVO,ACT,,,2,1,1,1,I :: know :: how,I know how,I know how  || ctx: I do n't know how to start ||| I know how  || ctx: I do n't know how to get,FALSE
HUMAN,I,need,,add,SVxCOMP,ACT,,,2,1,1,1,I :: need ::  :: add,I need → add,I need → add  || ctx: consider if I need to add them ||| I need → add  || ctx: I would ever need to add to,FALSE
HUMAN,I,need,,understand,SVxCOMP,ACT,,,2,1,1,1,I :: need ::  :: understand,I need → understand,"I need → understand  || ctx: Naturally I need to understand more ||| I need → understand  || ctx: schedule , I need to understand whats",FALSE
HUMAN,I,produce,book,,SVO,ACT,,,2,1,1,1,I :: produce :: book,I produced AI books ||| I produced a book,I produced AI books  || ctx: where I 've produced AI books . ||| I produced a book  || ctx: I have n't produced a book entirely,TRUE
AI,I,realize,,move,SVxCOMP,ACT,,,2,1,1,1,I :: realize ::  :: move,I realized → move ||| I realize → move,I realized → move  || ctx: is that I realized I could move ||| I realize → move  || ctx: sympatico and I realize I can move,FALSE
HUMAN,I,receive,info,,SVO,ACT,,,2,1,1,1,I :: receive :: info,I receive little info,I receive little info  || ctx: or I 'm receive too little info ||| I receive little info  || ctx: If I receive too little info,FALSE
HUMAN,I,struggle,,come,SVxCOMP,ACT,,,2,1,2,1,I :: struggle ::  :: come,I struggle → come ||| I struggled → come,I struggle → come  || ctx: because I always struggle to come up ||| I struggled → come  || ctx: it myself I struggled to come up,FALSE
HUMAN,I,take,idea,,SVO,ACT,,,2,1,1,1,I :: take :: idea,I took the general idea each ||| I took another idea,"I took the general idea each  || ctx: I took the general idea ||| I took another idea  || ctx: , and I took another idea I",FALSE
AI,I,use,answer,,SVO,ACT,,,2,1,2,1,I :: use :: answer,I used that answer ||| I used an actual answer AI,"I used that answer  || ctx: I used that answer , ||| I used an actual answer AI  || ctx: time I actually used an actual answer",TRUE
HUMAN,I,use,image,,SVO,ACT,,,2,1,1,1,I :: use :: image,I using the images,I using the images  || ctx: I 'm not using the images themselves ||| I using the images  || ctx: I 'm only using the images as,FALSE
HUMAN,I,use,program,,SVO,ACT,,,2,1,1,1,I :: use :: program,I use programs ||| I use a program,I use programs  || ctx: I use programs that will ||| I use a program  || ctx: I use a program that,FALSE
HUMAN,I,want,,paint,SVxCOMP,ACT,,,2,1,2,1,I :: want ::  :: paint,I want → paint ||| I wanted → paint,I want → paint  || ctx: I know I want to paint something ||| I wanted → paint  || ctx: was when I wanted to paint a,FALSE
AI,I,want,AI,help,SVOxCOMP,ACT,,,2,1,1,1,I :: want :: AI :: help,I want the AI → help,"I want the AI → help  || ctx: I want the AI to ||| I want the AI → help  || ctx: , so I want the AI to",TRUE
