	transcript_id	group	long_cluster	long_centroid	u_intro	u_basic job description	u_walkthrough	u_project example
30	creativity_0030	Fiction writing	0	I'm a writer, primarily of science ficti	"Sounds good.  No questions, I'm just ready to get started!
"	"I'm a writer! I'm in the process of working on my debut novel right now, so I'm deep in the trenches of writing and editing my manuscript. Therefore, I have to come up with things like a title, characters, plot, etc.
"	"I don't allow myself to use AI for the creative meat and potatoes of my story, because I want it to be authentic to me. However, I do find myself looking for help for titles in my work by giving AI a synopsis of my story. I also tend to go to it to come up with names that sound good for siblings, last name ideas, things like that which aren't as crucial to the creative part of my work.
"	"I was really struggling with a title for my book. I had everything else, my story was well rounded, but nothing was sticking out within my work that would make the perfect, catchy title. I used AI to brainstorm, which then got my creative juices flowing, and I bounced back and forth with it until we found a perfect title.
So, I started by basically saying, ""here's the plot of my story, here's something significant that happens in it, here are the main characters' namds
Sorry, hit send on accident! Let me start over. So, I started by basically saying, ""here's the plot of my story, here's something significant that happens in it, here are the main characters' names, can you help?"" AI then gave me some ideas, none of which sounded right. However, they did point out something minor from my story I mentioned, which gave me an idea. It was a play on a classic phrase that most people would probably know, but not all. I asked for advice on if it was clear what I was playing off of, and if AI thought people would get it. AI said they likely would, and gave me some similar ideas. One of the ideas it gave was almost perfect, so I changed one word and got a title I love.
"
31	creativity_0031	Audiovisual	4	I'm a musician, so my projects range fro	"No, I am ready to begin.
"	"I am a video producer. I don't have very ""typical"" projects. Right now I am working on a video for a hypnotist and a short animated film about God and His many forms. Earlier this year, I shot an  independent feature film about 4 Generations of black women with sleep disorders and psychic powers. In the past, I was mostly focused on making television and podcasts about technology.
"	"It completely depends on the project - the videos for the hypnotist mix short shots of AI-generated images and video in with traditional graphics and editing. The short about God is all AI-generated video edited together with traditional non-linear editing. The feature film did not use AI, but I am going back now to see it I can stitch together some stills we shot with footage we took by using AI, without it looking like I'm using AI.
The first two projects I mentioned are animated, so it is either easy to blend the AI-generated animation in with the rest of the video, or, in the case if the religious piece, it all looks AI generated, which is fine. But the feature film is all real people, in real environments, so  anything AI-generated has to look real - characters have to be consistent, people can't have 6 fingers, etc.
"	"Right now, I  am trying to make transitions from some photos we took that I photoshopped to look like they are old black and white pictures to color footage of the same moment. Unfortunately, the photos and footage don't line up perfectly, and one is a different shot entirely, so trying to get a smooth transition has been very interesting, but also frustrating. I haven't gotten a result I like yet.
"
32	creativity_0032	Fiction writing	0	I'm a writer, primarily of science ficti	"Sounds good. Let's start with your first question.
"	"I write short fiction stories. The genre varies; Sci-Fi and Fantasy are favorites of mine, but I write in other genres too. It starts with brainstorming, and when I find an interesting idea or concept to try I start researching the topics that might be relevant. I plan an overall arc for the story to follow with some specific events or scenes to keep my later drafts organized. I typically make edits on the fly, but usually make several edits/refinements throughout the process. Once I think I'm happy with how the project is turning out I'll usually take some time away from it before returning to see if I'm still happy with it. Afterwards I upload the story to an appropriate public site if I'm just writing it for fun, or send it to the person who commissioned it in that case.
"	"I do try to limit my use of AI, so it's my voice and writing style and not someone else's. Sometimes I use AI while editing, to make sure what I've written makes sense and flows in a coherent manner, as well as double-check my grammar and spelling. I also sometimes use it for brainstorming, a change in perspective can really help to come up with interesting ideas. I prefer to do my own research for now, however, sometimes Google's AI Overview has links to pages that are useful, but I usually disregard the actual content of that overview and just check the cited webpages instead.
"	"I recently was writing in Microsoft Word, which has integrated AI. It automatically highlights what has been written and prepares suggestions. In the case of grammar or spelling mistakes it is very useful, but sometimes it prepares suggestions that go beyond that. In this particular case it suggested I change some words to make the sentence easier to read when I had written it to emphasize a specific word in that sentence. The suggestion was technically right, it would be easier to read if I followed its advice, but it would have also defeated the whole point of writing the sentence to begin with. I didn't want to see anymore AI suggestions for the rest of the day because I kept thinking that if everyone used these kinds of suggestions to ""improve"" their writing, everyone's style would be the same. No one would have a unique writing style anymore. I suppose the experience made me feel conflicted. AI can be very useful for small corrections, but when it is forced into software it's invasive, encouraging over-reliance on the model's functions.
"
33	creativity_0033	Mix	3	I'm an artist and a writer with a PhD in	"I'm ready!
"	"I do quite a lot of creative work with AI. I do many crafting projects, design social media posts, peruse AI for inspiration for crochet projects and patterns, come up with fun ideas to boost morale at my place of work, etc. Recently, I used AI to design a bubble gum machine logo for my office. It gives out adult prizes. AI helped me come up with a vinyl design that reads: [REDACTED]'s Subpar Prize Machine: Lower your expectations and turn the knob. It has a melty smiley face on it. The staff members love it! I also have used AI recently to come up with many social media posts and inspiration for the dental office I work at.
"	"I ultimately begin with AI to expand on an idea that I have. Let's talk about the bubble gum machine to start. I first saw an old bubble gum machine for sale and thought it would be awesome for staff members to be able to earn tokens to get a spin. When I got my initial idea, I then turned to AI to first get recommendations on fun trinkets to put in that were fun and adult humor. Then I asked it to generate some fun names to call it based on some factors: my office is in the basement, it hands out subpar gifts, it is my own personal machine and not sanctioned by the doctors, etc. After inputting my initial ideas, I was able to conversate back and forth until I settled on the perfect name. After settling on a name, I continued to consult it to come up with a fun slogan so staff members would know not to expect anything super great from the machine, as it is truly just a fun little game to boost morale. After I decided on a fun slogan, I was able to consult it to come up with a design for a vinyl cut out to put on the front of the machine.
"	"I initially stated what I was doing with the project and gave the details I mentioned to you earlier. AI then gave some suggestions and I went back and forth multiple times, over multiple days even, to finally come up with a name I thought was perfect. AI suggested many names to begin with and I would prompt back stating to focus more on one thought process (ex: add more suggestions that have to do with my office being in the basement, give me more suggestions that get the point across that these prizes are basically worthless, give me a suggestion that uses my name, make it shorter because it needs to fit on a 5"" x 17"" glass front and I want the words readable, etc.). After spending quite a few turns (probably 10 over a few days), the model suggested a name I thought embodied the project very well--[REDACTED]'s Subpar Prize Machine. I then wanted to add a little subtext so went back to the model to gain ideas for wording. Again, I needed it to be a short length so it would fit well on the space I needed. After the same back and forth process I mentioned above, I settled on Lower your expectations and turn the knob. I run the ideas by a few friends and they all agreed it was a great name.
"
34	creativity_0034	Fiction writing	0	I'm a writer, primarily of science ficti	"Sounds good. Let's go.
"	"I'm a science fiction novelist. Most of my series have involved time travel, but the current one is a bit of a departure. It's a four-book series set in the late 21st century, and partially takes place on a Mars that is in the final stages of terraforming. My academic background is more historical and political than scientific, so I frequently have biology questions, and sometimes need to know things like how far it is from one geographic point on Mars to another.
"	"Any time I have a question that requires me to use advanced math. :)  I've also used AI to help come up with some basic rules for a language. Occasionally, I use AI as an advanced thesaurus when I can't come up with the right word.  Or when I need to figure out how much a knish might cost at a food truck in 2090 given typical rates of inflation. Stuff like that.
"	"I needed to figure out whether the process of growing lab meat and the quality of the final product would be affected by the lower gravity on Mars.
I simply asked what the differences might be and was then given a list of changes. One of my beta readers is a biologist, and I usually run these things past her, but she was away from the computer. When I spoke with her later, she said that the response was well-reasoned and lower gravity would probably have many of those effects. I like being able to get a general idea on topics like this before I run them past beta readers and other specialists I know, because it saves them time I have my ducks in a row before I contact them. I was less happy with some of the creative suggests for a generic name for lab meat, but I can usually come up with those on my own.
"
35	creativity_0035	Art, design, crafts	1	I do a variety of creative work. I am se	"Sounds great!
"	"I do visual arts in a variety of mediums. An example project may be an acrylic painting, that I may than scan to make prints out of.
"	"I like using AI to brainstorm and when I am stuck. I might use it to help generate a list of ideas when I have a creative block, or to help expand an idea. For instance, if I know I want to paint something using paynes grey with a red accent that has an autumn theme, I might ask AI for a list of possible subject matter or ideas for paintings.
"	"An example of when I used AI was when I wanted to paint a series of woodland themed small paintings. I planned to paint a mushroom in one, a fern in another, and then I asked AI for a list of other ideas to help me come up with other subjects to expand the series on theme. It helped me decide to also paint a fallen tree and wild berries.
"
36	creativity_0036	Art, design, crafts	1	I do a variety of creative work. I am se	"Sounds, great. I don't have any questions at the moment.
"	"Sure. I'm an illustrator and graphic designer. My projects can range from working on logos for small businesses to creating  illustrations, infographics, and more for online courses.
"	"AI is useful for when I'm trying to craft pitches to prospective clients, respond to client emails, or when I want to know what a contract or TOS says.
I don't use Generative AI in my creative work. If I'm feeling really stuck and uninspired, I might use ChatGPT to brainstorm ideas. But ultimately, I try to avoid AI use in my workflow as I don't want to become dependent on it. Creativity is a muscle and if I don't exercise it, it will wither!
"	"I've been wanting to branch out and create stock patterns and graphics to sell online. I generally design in my own aesthetic/style,  but I know that I'd sell more graphics if I created them in a larger range of styles and appeal to more niches. So I asked for a list of styles and niches. I probably could have done my own research, but it was way faster to just get the list using AI. Once I got the list, I picked a few niches that seemed promising.
I mean, it was definitely a timesaver and time is money. That said, using AI as an assist, rather than letting it do the actual core, creative work, allows me to maintain my integrity as a creative.
"
37	creativity_0037	Art, design, crafts	1	I do a variety of creative work. I am se	"Sounds good.
"	"I have two types of creative work. The first is creating images for adult coloring pages. They are more intricate than a child's coloring page with more detail. For instance, a realistic dragon sleeping in a forest surrounded by trees, fairies, crystals, and hidden images amongst the leaves. So, a project would be taking a creative scene in my head and turning it into an image of black and white lines with no shading. The second is writing creative passages for use in social media. They are short passages but very specific in their theme and tone. A project would entail focusing in on a message that I want to convey and wording it most efficiently without losing the tone. I then might put that message to music and imagery to create a ""reel.""
"	"I have more creativity in my mind than in my hand so AI helps me in that regard. AI is very helpful for creating coloring pages. I have the scenes in my head but I do not have the talent to put that scene onto paper. As far as creative writing, sometimes I have a message that flows but sometimes I can't seem to get it across eloquently. AI's creative writing is fantastic. It can help me put my thoughts to paper, or reword more eloquently, or shorten a passage for social media.
"	"For coloring pages, I recently requested the dragon sleeping in the forest as well as a few other images, like a sitting Buddha and a fairy in flight. I allowed some creative freedom for the AI when I requested the images such as 'surrounded by trees and crystals and other magical objects' and I built off of what AI offered in the image. It felt fun at times and frustrating at times if the AI did not understand the feedback. For creative writing, I recently asked for a short passage (although longer than a social media reel) with a very particular tone of invoking the dragons out of dormancy to activate the Earth's ley lines (darn it I can't find it right now) and I needed help creating an eloquent passage. I was floored by the results. It was so on point with my intention.
The request is always for a black and white line image. The image I received had some partial shading in it. I requested the AI remove the shading but it just could not seem to do it. It seems that sometimes when an image is already created, the AI has difficulty editing the image. It might even elicit more errors outside of what you requested. Sometimes it's easier to just start over but that can be frustrating when you had a great image but then the AI makes a new creation that is missing parts you liked from the first one. Admittedly, I would probably be getting better results with AI that is more specialized in image creation and/or higher level paid subscriptions. I am still playing around with all different AIs for image creation.
"
38	creativity_0038	Content writing	2	I work on writing research style blogs t	"Sounds good.
"	"I am a copywriter. A typical project would be researching, drafting, and editing a piece of writing and using the necessary tone and format for the piece. I generally write copy for websites and blogs, but I have also written a couple of articles for magazines.
"	"I have reached for them to brainstorm ideas for certain projects or to help create catchy headings if my creative juices aren't flowing. A couple of times, if I've been particularly short on time, I've used them to create first drafts that I've then gone in to edit (usually quite heavily). I use AI more as a collaborator. I don't like to hand over the reins entirely!
"	"I was tasked with writing some financial content for a website recently, which isn't something I'm particularly clued up on. I asked some LLMs to explain the concepts to me in a simplified manner so that I had a clearer idea before I started writing. I found this really helpful and insightful. I did do some online research, too, but the amount of information felt overwhelming, so it was nice to get some clarity.
"
39	creativity_0039	Art, design, crafts	1	I do a variety of creative work. I am se	"Yes let's begin
"	"I am a commission artist as well as an art workshop facilitator. One of my latest classes I have offered is a Fall themed Mom & Me Paint Night. I advertise, people sign up, and I run the class in a rented studio. I also am a therapeutic art life coach and I offer free art journaling prompts on my social media along with therapeutic art bundles for purchase.
"	"When I am looking for ways to grow my social media following, engagement and reach, I have asked AI what the best practices are. I have also asked for inspiration about types of content bundles I can offer, as well as descriptions for workshops.
"	"I recently used AI to help me think of content bundle ideas. I found it actually very helpful and was impressed by the ideas. I took inspiration from 3 of the ideas it came up with and adapted them into my own offering. It was nice to have the inspiration, but I admit I feel hesitant when using AI for creative ideas.
I don't want to form a habit of relying on AI for my creative ideas. I want them to come from my own creative thought process.
I took the general idea of each, for example, one bundle idea was about doing art with the changing seasons, and I took another idea I had previously and combined it with the AI one. It became ""Syncing with the Seasons"" taking an idea I had about syncing your natural rhythms to your art practice. It was just the right amount of inspiration I needed to make another idea I had make sense
"
40	creativity_0040	Fiction writing	0	I'm a writer, primarily of science ficti	"No
"	"I'm primarily a writer and I'm currently in the preliminary phase of writing my first novel. This phase of writing involves research into the philosophical and historical grounding of the story. This involves an enormous amount of archival research and reading in philosophy and history,  and a little bit of writing.
"	"I use AI to do a particular kind of brainstorming-- the AI is my philosophical interlocutor. My writing process involves thinking through concepts that I've read from philosophy, history and literary criticism. I use the AI to discuss these concepts and refine my thoughts. Sometimes the AI can help explain difficult concepts to me or correct the errors of my thinking. The purpose of tarrying with philosophy is to help ground refine the story's philosophical and historical implications. The AI can also recommend books on a particular subject. For example, if I want a history book on Canada written from the Marxist perspective, the AI can provide a list of titles for me. If I need help with a concept like Walter Benjamin's concept of the ""dialectical image"", a brief conversation with the AI can clarify how this concept would work in fiction.
"	"My novel is set in Southern Ontario in the 2010s, a period when thousands of Ontarian's lost their jobs to factory closings. The main character, a history graduate with a bachelor's degree finds himself unemployed, and musing about the founding of the Canadian Confederation. I wanted to frame a passage in the novel like a montage of dialectical images that flash between the founding of the Confederation. I engage the AI in a conversation about Walter Benjamin's paper on the philosophy of history which I used to clarify Benjamin's terminology and his philosophy of history more broadly. I then asked for some Marxist history books on the founding of Canada and it recommended ""Rebels Reds, Radicals: Rethinking Canada's Left History"" by Ian McKay. The conversation felt quite stimulating and led to some productive writing sessions for me. I keep the same conversation channel with the AI open and revisit it daily, discussing different philosophers and historical events.
"
41	creativity_0041	Audiovisual	4	I'm a musician, so my projects range fro	"Let's begin
"	"As the owner of a creative services business primarily geared towards music, a typical project for me could be anything from basic level songwriting to arranging the musical direction of a multi faceted performance, composing music for film or even programming a live production from start to finish.
"	"I find myself reaching for AI tools to spark kernels of creativity when inspiration is feeling scarce. A quick brainstorm with a chatbot or a visualization with an image generator often facilitates my workflow into being proactive rather than simply waiting around for inspiration to strike.
"	"I was recently asked to pitch a song for a client with a sizeable repertoire that includes many different ""eras"" of themselves. While trying to capture the energy and feeling of a specific time in their career, I asked an LLM to analyze the lyrics of a few popular songs from this artist's reference period to find a common link or meaning. In this instance, the LLM was able to capture the underlying vibe of the era and provide some suggestions of themes for me to lead off the lyrics with. Although I had already written the majority of the music, the suggestions lead me to view the piece in a different light and make some changes that I would not have made otherwise. The client loved one moment in particular that was heavily influenced by one of the creative tangents that was inspired by the original LLM conversation.
"
42	creativity_0042	Art, design, crafts	1	I do a variety of creative work. I am se	"Sounds good to me! No questions, let's begin
"	"My typical creative work is editing real estate photos and videos, every now and then I might have to do some ""people"" photography and events, but mainly Real Estate.

A typical projects involves going out in person to the property to capture whatever the client inquired about, and then back in my office, editing the media to make it MLS ready. If a video was purchased, then I would have to sift through the video clips to find the best ones, put them in Premiere Pro, set the sequence based on the natural flow of the property, and then combine it with background music (cutting clips to a downbeat), and making any minor color correcting edits
"	"More specifically with photo editing, I find myself using AI tools to remove unwanted objects out of the image, adding in wanted objects, and sometimes asking AI on how to do a new things with editing if it ever comes up that I need to do something new. For example, a while back, I had to learn how to brighten up certain parts of an image to give it a ""twilight"" effect, I needed the help of AI to learn how to do so without having to go through multiple YouTube videos.

I also use it ""uncreatively"" in that I have AI help me make email campaigns to reach out to possible clients to help me with my pipeline of clientele. Making up emails to send out cold emails is not fun, so using AI allows me to have more time to actually interact with the people I currently work with and learning new things for my job.
"	"The most recent project that I used AI to help me with was editing out people and vehicle out of an image. Before, doing something like that would have taken an immense amount of time just to remove it, and then you have to worry about replacing it with something to match the background and doing that would just not look seamless because of different lighting and other factors. AI has helped with that process in that it removes, AND adds in background based on the surrounding image and it looks seamless. I use AI through Adobe Lightroom to do so
"
43	creativity_0043	Fiction writing	0	I'm a writer, primarily of science ficti	"Sounds good. No questions.
"	"I'm an independent author. A typical project involves several stages including brainstorming plot and character ideas, researching details, drafting and editing the novel, brainstorming and writing titles and blurbs, and creating marketing copy and graphics for social media and ads.
"	"I sometimes use AI to help brainstorm through plot holes or details like character names. I never use it to draft the novel, but I do have AI software specifically for editing. I have recently stated using AI to help me brainstorm title ideas and help create a base draft for my blurbs and loglines.
"	"I'm currently drafting a novel and have used it to help brainstorm plot ideas when I got stuck in the middle of the draft. I didn't use most of the ideas it came up with, but the ""wrong"" ideas sparked the right ones. I recently used AI after drafting the novel to come up with a blurb and title ideas. It was the same kind of situation where I didn't use the ideas exactly, but it served as a launch pad for my own ideas. Using AI for that part really helped save me a lot of time.
"
44	creativity_0044	Content writing	2	I work on writing research style blogs t	"Sounds good to me. Have at it!
"	"I work as a freelance copywriter and sometimes editor on Fiverr. Different clients have very different projects, but typically I'm writing blog posts and website content for businesses. Other copywriting I do includes neighborhood newsletters and editing content for websites. Most of my work involves some level of SEO as well.
"	"Typically, I'll take the client's brief and generate one or both of a detailed outline for the project and/or ask for well-researched citations into interesting facts and statistics about the topic.
It depends on the level of research needed for the project. On the 'low' end, I'll just ask a search-enabled smart AI (like GPT-5 thinking or Opus 4.1 or Gemini 2.5 Pro) to provide me with some interesting facts and statistics from specifically .edu, .gov, or .org sources (or pdfs) to avoid linking competitive articles. If its a big project I need to know lot of new information for, I like to use deep research - typically OpenAI or Grok's, but also Gemini or Perplexity if I'm not finding what I want. These reports I tend to read more or less fully (at least the interesting parts) and sometimes read the sources too. I then tend to copy-paste a bunch of the more interesting claims into a detailed outline and ask another (usually different AI) to fact check everything I might use for the article.
"	"One larger project I had was actually writing a report on Solar Energy expansion in the Middle East for a Qatar Solar Company. For this, not only did I use multiple deep research reports, but I also used ChatGPT's ability to make charts to help visualize the data. I did find that o3 (the model I was working with at the time) still struggled with extracting data from a visual chart - like if I uploaded a graph or chart to it, it couldn't read it accurately. This meant I still had to spend a lot of time verifying that it had the correct data for the many charts in the report. In terms of writing help, I tend to prefer 3rd party editing tools (like Grammarly) to strictly asking an AI to help with editing, as it does tend to go overboard.
"
45	creativity_0045	Fiction writing	0	I'm a writer, primarily of science ficti	"No
"	"I am writer, predominantly of literary fiction. I have written one novel and am in the process of researching another. I like complex books which usually have historical and/or philosophical elements.
"	"With my first novel I spent nearly a year doing preparatory research. At that time I was studying for a PhD in History and was able to freely access online journals and research portals via the university. I'm no longer a student, so I don't have access to those resources now as many are only available to institutions.  I have used AI to help with researching the second novel as it is set in Canada at the start of the second World War. I find using AI very efficient, although I am conscious of the fact that it isn't always truthful.
To work around the truthful issue, I double check anything I'm doubtful about. It's time consuming, but not as time consuming as doing the research myself. I am using my grandmother's letters to my grandfather as the basis of the novel. She left the UK and took her two children to Canada at the onset of the war and stayed until the end of it. I have never visited the particular area before and can see on Google Maps how much it has changed in the intervening years. I have used AI to help me build a clearer picture of life in that area in the 1940s, I have also asked it to elaborate on details my grandmother touches on in her letters about the war and also I have asked questions about a white person such as myself writing a book that features First Nation mythology, as I am concerned about getting the approach wrong.
"	"I wanted to open the novel with a myth about 'Raven', who was supposedly born on the shores of the area where my novel is set. I asked the model if this would be problematic, but I remember thinking that its answer was too woolly to be helpful. It hedged its bets! I decided in the end not to use it.
"
46	creativity_0046	Mix	3	I'm an artist and a writer with a PhD in	"Sounds good, I don't think I have any questions.
"	"One of the projects that I work on the most is basically the creative part of the process for selecting and preparing an episode for my history podcast, which falls more specifically into the realm of ASMR History for sleep. I choose a story or two related stories form either a specific event in history or a couple of related history topics and then tell a story for about 45 minutes or so.  I use AI to help me brainstorm ideas for my next ""episode,"" help me complete outlines for the research, find sources for my actual research, and write a script that I will then use to record the episode.  For instnace, I was having trouble picking a topic a few weeks ago and with the help of a model that asked several questions, we settled on the story of the ""Fall of Constantinople"" and then created an outline.  The episode should be out in 2 weeks, so I am working on research now and will return with a tentative script that a model will help me ""clean up,"" or edit for recording.
"	"At the beginning of the process, not every time, but often, for brainstorming the topic.  Then a quick, rough ""outline"" to help kickstart the research.  Then I return just before recording usually, or if I'm having trouble with sources I might ask for help in the middle of research.  But then I return to see if there is any advice the model might give me on ""cleaning up"" the script to make it flow more like a seamless story.
It really comes down to how creative I am feeling in the moment, or sometimes how my week has gone.  As a person attending grad school for history, sometimes there is a topic brought up in my classes that really captures my attention and I devote an episode to that.  Sometimes I have ""writer's block"" and need a little help, which is when I turn to the model for inspiration.
"	"Yes, to go back to the ""Fall of Constantinople"" project, it was during the summer. I was not in class, I had not done much reading that week, and felt a little burnt out.  I had a conversation with an AI model that I had used enough in the past that it knew which eras of history I generally showed more interest in, and asked for a brainstorming session.  The model did a decent job of shouldering some of the burden of the conversation and eventually suggested a story on Mehmet I, who was the ruler that overthrew Constantinople in 1453, which sparked my interest to do that story on that. There are plenty of secondary sources on that topic, so I did not really need help with the research, but my notes were actually a little too detailed and the story was going to be very long.  So I returned and asked the model to trim approximately 10 minutes worth of time. It did fairly well at keeping the key points in and removing some extraneous chatter.  It helped ease some of the stress I was feeling to produce an episode as well as remove points, which I loathe, because I've usually worked pretty hard to come up with the script.  So it helps me out to have AI remove some content for me, because it can be difficult for me to choose.
"
47	creativity_0047	Fiction writing	0	I'm a writer, primarily of science ficti	"No, you can proceed with the questions.
"	"Sure! I'm a writer and my preferred genre is literary fiction. I write novels, novellas, short stories, and poetry. I'm a hybrid sort of writer, I plan things ahead, visualise scenes in my head before putting them to paper. It helps be get the work done faster and boots my confidence. I always want to have the emotional beats down and then I always leave room for updates as I go. So it's mixture of planning and discovery writing.
"	"Mainly during the brainstorming stage. My pride as a writer and my personal ethics don't allow me to use AI to create content instead of my own brain and imagination, but I do use it as a feedback tool and a beta reader. For instance, I test the sound of character names, I ask for information on etymology, what would a good name that means XYZ would be, how can I use a substitute for a name that exists in real life, e.g., a country by alluding to its cultural specifics. Basically, it acts as a search engine/feedback tool.
"	"I was working on an entirely new project, which occured to me, making my own manga plot. I had. a long chat with an AI assistant trying out various character names, which I wanted to connect to particular character concepts, e.g., alluding to darkness, vengenance, light, hope, etc. I repeatedly asked it to summarise the plot thus far as it was evolving, which made it easier to keep track of my thoughts.
"
48	creativity_0048	Fiction writing	0	I'm a writer, primarily of science ficti	"Sure. No questions.
"	"I am writing a novel and I've also written smaller novels and non-fiction books and training materials. But I probably use it most frequently for my novel lately.
"	"I've used it to begin research into things I have limited experience with. For example, I have characters who are FBI agents and ones who work in the funeral business, so I've done a lot of asking questions about what kinds of things would be realistic in those settings and those roles. For example, I'll write a scene and then put it into an LLM and ask if it seems plausible, or if I'm being too Hollywood-educated about it, and what the terms for certain things are. Another thing I use it for is looking for terms for things it would take longer for me to look up. Like when one of my characters decides he doesn't want the monuments business his father wills him, I had to look up the legal papers that would be used for that process. (A disclaimer, apparently.)  
Also, I've used it to put in segments of my book and ask what other parts of the scene i may have overlooked, or trivia that help with the verisimilitude of the story.  
On smaller projects, I've also given the model a general idea of the setting, character, tone of the story, certain happenings that had to happen, and then I ask it to write what basically amounts to a trellis that I can build the actual story around. It helps me with pacing and not getting bogged down in the details of the first chapter instead of moving all the way though the plot. 
I probably use it for more, but that's what is coming to mind right now.  
Oh, and character names or business names sometimes - though I often end up getting inspiration and not final options from the model.
"	"Yes, one of the things I used it for was that I have a character whose parents perished using medical euthanasia. I had to ask where they could go to have it done, how their bodies would have been returned to the states (since I sent them to Switzerland) and what diseases they would both have had to justify wanting to pass in a dignified way instead of waiting it out. (He had advanced ALS and she had Pancreatic Cancer, and neither wanted to become a long-term burden to their children. Being as they worked in the funeral industry, they appreciated the sense of being in control of their final moments and not putting their family through the chaos that so many other families went through when death came on its own.) I had to make sure they were diseases that would reasonably have them of sound mind when they made the choice to depart, and that I handled it with some sensitivity because it can be a tender subject for a lot of people.
It felt very helpful to be able to have a relevant conversation about what was going on with my characters and that guide the information I was being provided instead of having to do research for each keyword piece by piece.
"
49	creativity_0049	Audiovisual	4	I'm a musician, so my projects range fro	"Sounds great! I have no questions, yet.
"	"It's highly variable, but most of my work involves digital audio in one form or another. Music production is the most bountiful and pertinent area, and projects can be anything from EDM to video-game soundtracks to theatrical scoring and sound design. I use FL Studio for most of it.
"	"I reach out to an LLM in particular during a few phases. Brainstorming is the most successful exchange, generally speaking, because we can bounce back and forth on ideas, worldbuilding, sound choices, etc. I occasionally ask for help with soft-synth sound design or composition, but LLMs rarely deliver on that. Troubleshooting is, again, an area where they tend to struggle - since they don't know more than I could've already found online.
I've also used AI Music tools for ideas here and there, but I try not to use them too often.
My descriptions are generally fragmented and abstract, and they tend to coalesce and ground these into something more centralized and simplified.
"	"I was working on some world-building for a conceptual EP. I explained my versions of each micro-story, and the model provided its own interpretation of the same sketch. Seeing what they bounced back gave me ideas to move forward - something concrete to inspire another round of abstraction.
"
50	creativity_0050	Mix	3	I'm an artist and a writer with a PhD in	"I don't have any questions, you can begin.
"	"I primarily edit my own YouTube videos, but I have edited for others in the past. I don't find the AI features in premiere pro particularly useful, so I mostly use Sora image generator to copy Thumbnail styles and Google Veo 3 to create b roll clips and brainstorm ideas
"	"Well not exactly, I often find I can better connect clips together by generating an AI video or using it create a type of short ""meme,"" which I would consider form of editing. Veo 3 has just been the best since its release, so I generally use that model. So, for example, a funny ai clip can better emphasize a point in the video, or tie together two clips that aren't directly related. 
Generally I'll think about the type of video I need to improve my content and just start prompting and making tweaks until I get what I need. Sometimes the voice doesn't match up perfectly and I'll voice over it myself or use elevenlabs.
I've also generated effects on a green or black screen and used those in my videos
"	"Yeah I recently mentioned the streamer, Asmongold, in a video and wanted something funny to go along with it. So I created an exaggerated cartoon style video of a balding man streaming out of a ridiculously dirty room with roaches crawling all over his garbage. I thought it added some comedy to the video and the viewers seemed to think it was funny
"
51	creativity_0051	Fiction writing	0	I'm a writer, primarily of science ficti	"Sounds good. No questions. Let's go.
"	"I'm a short film screenwriter. So I typically work on screenplays that are about 15-20 pages. I write drama, romance, thrillers. There is one project I was working on that's significantly longer though. A feature film but that's more of a passion project than anything.
"	"I mostly use AI for feedback and sometimes continuing when I have writer's block. So, typically I will have started a scene or started with an idea and I go to AI to bounce off what direction I'd like to take it. If I get a scene written by AI, I'll take that framework and re-work it to fit my voice and style.
"	"Yeah, I was working on a drama/ romance kind of script. So first I described each of the characters personalities to the model and asked for name ideas. That was really great because the name to me is pretty important, it tells the audience a little before they know anything, in my opinion at least. It's human nature to judge a book by it's cover. The model did a great job with the names. Later, I gave the model the general idea of the story and asked if it thought I needed comic relief within a pretty serious script. We discussed why or why not. This was one of the areas I wish more people could or would use AI for. It was like having another writer in the room to weigh pros and cons with. After I finished the script, I sent it to the model to read over and give me it's opinion. The entire process was really efficient. I got through a 20 page script, start to finish in a little over 12 hours by just partnering with the model and getting quick feedback.
"
52	creativity_0052	Audiovisual	4	I'm a musician, so my projects range fro	"no questions, I'm ready to begin
"	"I run a production company that has a focus on music, books, video content, and games. Many of our projects cross over into any of these fields, or all of them. For example, I have an artist now who is out that has music videos, that are part of an interconnected world that connects to their music. All of these are connected to a mobile game we currently have in production for them. As a production house, we are able to work with our artists and content creators from end to end.
"	"That depends on the project. I will use my artist as an example. I am a producer, so I create their music the old-fashioned way, on my motif. From there, I send them the track, they write the lyrics, record and mix (in 1 of 3 studios). This is where AI comes in. I get the music, and listen to it, to get a feel for what it is telling me. I then begin working with some keywords and thoughts, creating a draft of the cover via AI. I draft my covers by AI usually. Once I have an idea of what I want, I then do the rest on my own. Back in the day, I would send this to a graphic designer, but with AI I am able to do this more efficiently on my own. From there, if the song is noteworthy, I will then work on a music video. With AI, this has become a 100 times more easier. I think of the theme, the style, and I do a mixture of AI and edits. It allows me to expand the reach of my production house, because sometimes we have 3-4 releases a week.
"	"Now I'm not going to disclose the name of the project, but we will call it ""Project A"". I received four completed songs from my artist, all with a dark, sort of Gotham city feel to them. Their lyrics are tight, the mixing is creative. I then sit with the music and get a picture in my mind of what I want. From there, I boot up Designer and create some ideas for the cover using AI. After a few revisions I have the core image I want. I then move it to the next level in Designer where I am able to edit the image directly, and add the different things a release needs on the cover (like title, etc.,). After ensuring the color and placements are right, I then press it. From there I send it to the distributor for review. This is a recent example of when I used it.
"
