lemma,noun_roles_top,head_verbs_top,amod_top,compound_top,examples
suggestion,obj:39 | nmod:6 | obl:6 | nsubj:5 | conj:4 | obl:agent:1 | nsubj:pass:1 | compound:1 | ccomp:1,make:9 | give:9 | provide:5 | prepare:2 | see:2 | add:2 | ask:2 | count:1 | refine:1 | trigger:1 | get:1 | lead:1,great:3 | helpful:2 | more:2 | good:1 | small:1 | few:1 | general:1 | curate:1 | ok:1 | wrongful:1 | awkward:1 | relevant:1,AI:2 | Grammarly:1,"I do n't reach for AI a lot , but I guess you could count Grammarly suggestions for writing . || It provided me with a list of suggestions and , most importantly , reasons for those suggestions , so I was able to do deeper research into what it was telling me . || It 's usually me in the driver 's seat , but the models I 've used have been very collaborative , making helpful suggestions that sometimes I would never have thought of - so although the AI is n't making the creative decisions , it is very creatively involved in the collab . || And creatively , it 's been a great sounding board for ideas , like with the organization of the book , where I can tell it what I am trying to do from a very high level , and ask for thoughts and ideas on how to accomplish it , and we can go back and forth with iterations of the ideas , and it will make suggestions that I might not go with precisely but will sometimes spark a different way of viewing things that will help me decide on the right approach ."
product,obj:17 | nmod:15 | compound:11 | obl:9 | nsubj:4 | conj:2 | nsubj:pass:1 | appos:1 | xcomp:1,create:3 | use:2 | sell:2 | add:2 | leave:1 | publish:1 | lead:1 | involve:1 | ensure:1 | end:1 | purchase:1 | have:1,final:10 | finish:3 | real:1 | physical:1 | inferior:1 | good:1 | unique:1 | lackluster:1 | creative:1 | similar:1 | possible:1 | related:1,end:5 | snake:1 | software:1 | tech:1 | work:1 | saas:1 | quality:1 | Adobe:1,"Well the music production space ( even pre -AI ) has become flooded with a lot of snake oil software products . || I 'll then draw the assets on Procreate , export them to my PC , organize and name the files , create product listing images and promos for them , then upload them to the appropriate markets . || But , I figured that I 'm not stealing work , I 'm not using the images themselves as the assets , and I 'm only using the images as inspiration instead of the end product . || It feels a bit more like a battle to be honest , usually the iterations are less because each one is a little better , and more because the product is quite bad and needs refinement ."
aspect,obl:24 | obj:21 | nsubj:7 | nmod:4 | nsubj:outer:2 | ccomp:1 | root:1,use:5 | change:4 | focus:3 | have:3 | expand:2 | make:1 | discuss:1 | love:1 | become:1 | see:1 | say:1 | do:1,creative:6 | technical:4 | favorite:2 | big:2 | non-creative:1 | more:1 | write:1 | Certain:1 | emotional:1 | various:1 | -related:1 | check:1,editing:2 | brainstorming:1 | suggestion:1 | proofreading:1 | picture:1 | lore:1 | troubleshooting:1,"It 'll certainly make the non-creative aspects less tedious . || It has created a ton of efficiency for me so I can focus on my favorite aspects of the job ( filming and editing ) || So , essentially it has aspects of a long - form novel while also incorporating simple coding for the sake of branches and managing stats . || Personally , I feel like it has the potential to be exactly the way you described it , a valuable support system for when I 'm mentally fatigued or facing difficult challenges with technical aspects of the work I do ."
piece,obj:23 | obl:18 | nmod:6 | conj:5 | nsubj:5 | acl:relcl:1 | parataxis:1 | nsubj:pass:1,write:4 | create:3 | generate:2 | use:2 | look:2 | do:2 | find:2 | miss:2 | choreograph:1 | feel:1 | feed:1 | upload:1,finish:3 | creative:3 | handmade:3 | small:2 | short:1 | few:1 | long:1 | core:1 | standard:1 | artistic:1 | actual:1 | other:1,D:2 | art:2 | standalone:1 | moodboard:1 | default:1 | example:1 | keyword:1,"I also write standalone pieces but that 's much more occasional . || This means that I create a short piece of chorography in each of the styles that are tailored to the students ' level , the choreographic style I 'm going for , and sometimes other factors such as the time of year . || Lastly , over the next few weeks , I am choreographing a few pieces for the Christmas season . || That is to say , since I tend to world build in tandem with my writing ( and adjust for any potential additions ) using AI to generate "" moodboard "" pieces , or basic diagrams , can help me continue to the next step of my writing while having a simple foundation to draw upon ."
game,compound:23 | obl:13 | obj:10 | nmod:5 | nmod:poss:2 | root:2 | nsubj:1 | advcl:1 | conj:1,use:4 | play:2 | create:2 | change:2 | run:2 | involve:1 | expect:1 | connect:1 | write:1 | see:1 | appear:1 | have:1,fun:1 | little:1 | mobile:1 | regular:1 | casual:1 | roleplay:1 | multiple:1 | top:1 | play:1 | mechanical:1,video:4 | board:3 | card:2 | TTRPG:1 | d&d:1 | tcg:1,"So my creative niche is I create 3D printed tokens for card games , most typically Magic : The Gathering , using a program called HueForge to take a 2D design and give it depth , scale , and colour . || I am a board game designer . || For board game design , I use AI to help me create layouts for prototype components like cards , player boards , and shared boards . || Sure , I recently attended a board game design convention where participants played each other 's games ."
use,obj:15 | obl:14 | nsubj:11 | conj:6 | compound:5 | nmod:3 | root:3 | nsubj:outer:1,make:6 | require:2 | think:2 | criticize:1 | forbid:1 | find:1 | stop:1 | limit:1 | avoid:1 | write:1 | see:1 | allow:1,great:2 | recent:2 | intrigue:2 | main:1 | excessive:1 | professional:1 | original:1 | creative:1 | practical:1 | primary:1 | future:1 | more:1,AI:6 | ease:1,"I would hate to see a time where the art of dance becomes too uniform or "" cookie cutter "" due to the influence and use of AI . || I think this would be especially useful for modern digital production techniques like rendering vast , detailed background environments for use on LED volume stages . || So I think it 's a question of both quality , demand , and the potential for misplaced accusations of AI use that concern me . || I 'm also slightly concerned about the use of AI stealing work to generate images for people who want to call themselves artists but lack the proper skills , training and experience ."
script,obj:24 | obl:10 | compound:7 | conj:6 | nmod:6 | nsubj:2 | advcl:1 | acl:1,write:8 | use:2 | get:2 | read:2 | create:2 | give:1 | enhance:1 | review:1 | return:1 | clean:1 | come:1 | need:1,whole:3 | write:2 | short:2 | tentative:1 | serious:1 | available:1 | produce:1 | read:1 | animated:1 | guide:1 | new:1 | full:1,spec:3 | AI:2 | page:1 | feature:1 | form:1 | video:1 | co-writing:1 | meditation:1 | sale:1 | minute:1 | character:1,"They 're not currently advanced enough to be really useful for script writing , on screen graphic design , or other key creative elements . || My work varies project to project , but usually it involves a client giving me a script or a rough idea and it 's my job to bring it to life through illustration and design . || Also , it helps with writing , when I 'm putting a treatment together , or outlining a script idea . || I 've even delved into website creation , script treatments , and more based on what clients need and what I can provide ."
voice,obj:21 | compound:12 | obl:7 | nmod:6 | conj:3 | nsubj:3 | xcomp:2 | parataxis:1 | root:1 | nsubj:pass:1,have:4 | maintain:3 | sound:2 | use:2 | give:2 | fit:2 | need:2 | write:1 | base:1 | try:1 | reword:1 | keep:1,own:2 | unique:2 | certain:2 | human:2 | personal:2 | authentic:1 | casual:1 | personable:1 | overall:1 | special:1 | generic:1 | distinct:1,AI:7 | brand:1 | sound:1,"The AI feels like it is concerned with what will make successful ( not a bad thing at all ) , but not necessarily with maintaining my voice . || The statement generated by AI could then be hand edited to sound more like my authentic voice as an artist . || It had to write this piece in a casual , personable voice as though I was writing to myself for future reference . || I 've typically used a text based AI model , but it would be interesting to be able to use a voice based model so that I could remain on screen , and read a short passage , and hear a response ( perhaps giving a different perspective , and certainly breaking concentration on the passage at hand to a lesser extent ) ."
world,obl:19 | compound:16 | nmod:10 | nsubj:4 | obj:4 | advcl:2 | parataxis:1 | conj:1,make:2 | exist:2 | build:1 | demand:1 | occur:1 | live:1 | become:1 | conform:1 | fear:1 | settle:1 | see:1 | create:1,real:4 | fictional:2 | modern:1 | physical:1 | broad:1 | interconnected:1 | old:1 | immersive:1 | same:1 | creative:1,fantasy:2 | AI:1 | art:1 | publishing:1,"Tools like Cuebric are already being adopted for aligning real world performances with digitally created backgrounds , adding realism . || That is to say , since I tend to world build in tandem with my writing ( and adjust for any potential additions ) using AI to generate "" moodboard "" pieces , or basic diagrams , can help me continue to the next step of my writing while having a simple foundation to draw upon . || Still , in terms of the authenticity of character portrayals or its ability to create a scene , there are times I 'd find myself pleasantly surprised by how it took the loose fundamentals of a world I gave it and ran with it . || I do think this could create a strange culture , where we put human - writing on a pedestal even on occasions where it is not objectively good ; or where people become discouraged from studying writing at all because they can just have AI do it for them and the modern world demands so much of time ."
concept,obj:19 | compound:10 | nmod:9 | obl:9 | conj:6 | nsubj:2 | nsubj:pass:1 | appos:1,explain:2 | come:2 | understand:2 | prove:1 | consider:1 | iterate:1 | leave:1 | put:1 | create:1 | think:1 | discuss:1 | work:1,initial:3 | basic:3 | own:2 | new:1 | novel:1 | difficult:1 | philosophical:1 | particular:1 | catchy:1 | flesh:1 | rough:1 | original:1,character:2 | level:1 | proof:1 | writing:1 | design:1,"Likewise , as a result , I sometimes end up creating supplementary graphics , concept art , etc , while worldbuilding . || When it comes to creating concept art , I may rely on it heavily for the atmospheric feeling of a space . || I would say the AI is driving a good bit of the concepts , I simply try to guide it . || It has allowed me to exist as a creator , making prototypes to prove the concept from which we can then allow for an actual artist to take creative control from there to create a product that has IP and legal protection ."
conversation,obj:24 | obl:14 | nmod:8 | nsubj:6 | xcomp:2 | compound:1 | obl:agent:1,have:14 | generate:4 | start:2 | drive:2 | retain:2 | go:1 | clarify:1 | engage:1 | feel:1 | inspire:1 | kick:1 | need:1,long:3 | new:2 | same:1 | brief:1 | original:1 | relevant:1 | short:1 | authentic:1 | previous:1 | brainstorm:1 | lengthy:1 | important:1,llm:1 | back:1 | AI:1,"Likewise , I may occasionally ask my AI to take on a particular character to have a conversation about them , and then compare its interpretations to how I * feel * they would genuinely act . || Now I 'll have a conversation with an AI model . || I was happy with the results and had a conversation to explore all possible options . || I see a streamline of prompt generating and feeding within the same conversation to generate amazing images ."
name,obj:21 | obl:18 | conj:5 | nsubj:3 | nmod:3 | root:2 | compound:2 | ccomp:1 | nsubj:outer:1,have:5 | come:5 | suggest:3 | tell:2 | remember:2 | generate:2 | settle:2 | use:2 | do:2 | flow:1 | want:1 | send:1,generic:2 | own:2 | fun:1 | perfect:1 | many:1 | great:1 | good:1 | various:1 | serious:1 | popular:1 | proprietary:1 | same:1,character:4 | song:3 | business:2 | pen:2 | placeholder:1 | working:1 | track:1 | trade:1,"Another one is song names . || Again , I 'll have an LLM drop a list of thematic words or pairings to get ideas flowing for song names . || I had placeholder names for the projects , but I wanted to change a few of them . || Then I told it the 4 working track names , what I liked , and what I did n't ."
prompt,obj:21 | obl:20 | nmod:7 | nsubj:4 | conj:1 | nsubj:pass:1 | root:1,create:3 | craft:3 | use:3 | generate:2 | include:2 | do:2 | feed:1 | have:1 | formulate:1 | turn:1 | near:1 | understand:1,single:3 | simple:2 | few:2 | right:1 | free:1 | actual:1 | long:1 | short:1 | repeat:1 | ideal:1 | vague:1 | specific:1,journaling:2 | art:2 | system:1 | image:1 | writing:1 | story:1 | example:1 | text:1,"I use it for everything from brainstorming topic ideas and page outlines through to feeding it prompts to generate content . || I also make sure the prompt I start with has as much information fed into it as possible , which means ultimately I 'm driving the creative decisions and simply getting AI to do what I want it to || I am very specific in my prompts about what I want as far as style , difficulty level , etc . || I admit that there is creativity in formulating prompts to give generative AI so that the end result is the best it can possibly be ."
level,obl:15 | obj:14 | compound:8 | conj:5 | nsubj:3 | nmod:3 | appos:2 | advcl:2 | ccomp:1 | parataxis:1,do:4 | have:3 | use:2 | be:2 | involve:2 | tailor:1 | alter:1 | get:1 | code:1 | allow:1 | pay:1 | control:1,high:5 | necessary:1 | good:1 | enough:1 | equal:1 | individual:1 | basic:1 | next:1 | certain:1 | same:1 | achievable:1 | financial:1,surface:5 | difficulty:2 | grade:2 | reading:2 | quality:1 | word:1 | sentence:1 | paragraph:1 | entry:1 | expert:1 | comfort:1 | Nabokov:1,"The lesson plans need to be specific to those styles , the level of the students , and ( at times ) the theme of the week . || This means that I create a short piece of chorography in each of the styles that are tailored to the students ' level , the choreographic style I 'm going for , and sometimes other factors such as the time of year . || Recently , I asked AI to come up with a basic lesson plan for jazz courses and then to alter the difficulty level for 3 different age groups . || I am very specific in my prompts about what I want as far as style , difficulty level , etc ."
feedback,obj:29 | obl:14 | compound:3 | nmod:3 | conj:2 | nsubj:2,provide:9 | get:8 | ask:7 | give:4 | use:2 | inject:1 | understand:1 | feel:1 | have:1 | crave:1 | offer:1 | refine:1,honest:2 | final:1 | further:1 | helpful:1 | creative:1 | good:1 | quick:1 | general:1 | relevant:1 | full:1 | instant:1 | harsh:1,,"I tend , in my own words , to get too wordy sometimes , and sometimes I have trouble being direct or efficient in expressing an idea , so I 'll use AI to get feedback or ideas on how I can say something . || And then in the editing phase , I am an avid proofreader , but I will use AI to double check my work and get final feedback . || Usually , there will be at least one revision step where I can adjust / course - correct / inject further feedback from the filmmakers . || My hope is that AI developers will seek ways to make the process of relying on human input and feedback with models so that human creativity is not lost forever ."
brainstorming,compound:28 | obl:13 | conj:4 | nmod:3 | nsubj:outer:1 | advcl:1 | parataxis:1 | obj:1 | nsubj:1,use:8 | start:2 | get:1 | involve:1 | come:1 | utilize:1 | help:1,,decision:1,"I use AI tools for brainstorming , asking quick questions about technique and theory , general admin , copywriting , emails / comms , and also business planning . || Anyway — brainstorming is and ideation is really just a process of bouncing my ideas off a peer . || I 'm using it mostly for brainstorming out of creative blocks , and for troubleshooting or techy workflow questions . || Again , I 'd rather it be used for technical tasks or brainstorming than for actually being any sort of creative driving force"
detail,obj:18 | obl:16 | nmod:11 | conj:4 | appos:1 | nsubj:pass:1 | nsubj:1,add:4 | give:2 | get:2 | bogg:2 | go:2 | focus:1 | point:1 | fill:1 | describe:1 | see:1 | combine:1 | work:1,small:3 | more:3 | specific:2 | sensory:1 | vivid:1 | grain:1 | practical:1 | real:1 | unique:1 | own:1 | certain:1 | much:1,AI:1 | booking:1 | wedding:1 | plot:1,"I am able to focus more on small details . || I find that when a long caption is needed , say for an Instagram Reel like I needed here , it does excellent and hits it on the money every time ( Granted , I provide a lot of detail . || When in my initial drafts , I may also brainstorm with AI in order to flesh out a scene ; specific sensory details , etc . || Having an engine to keep up with algorithms , feature changes , and trends to point those details in the right direction is helpful ."
help,obj:24 | obl:20 | nsubj:4 | compound:1 | ccomp:1 | conj:1,need:15 | ask:10 | get:5 | reach:2 | have:2 | see:2 | use:2 | make:1 | go:1 | look:1 | write:1 | settle:1,extra:4 | little:2 | more:2 | quick:1 | great:1,brainstorming:1 | hashtag:1,"Occasionally I 'll also reach for AI when I have to do a presentation and need help coming up with ideas and structuring the presentation . || I plan on blocking off time to make lesson plans completely without the help of AI . || I really like to use AI tools when I just ca n't find a good reference image for a pose I 'm trying to capture or a lot of the times I love using AI tools when I really need extra help with composition and scene layout . || And , color palettes , when I 'm coloring pages for comics and I might need help with generating a mood palette for the page , it 's very good for that as well ."
topic,nmod:15 | obl:14 | obj:11 | nsubj:5 | compound:2 | conj:2 | advcl:1 | appos:1,get:3 | research:2 | cover:2 | digg:1 | expand:1 | explore:1 | delve:1 | write:1 | pick:1 | brainstorm:1 | be:1 | take:1,new:2 | deep:2 | broad:1 | obscure:1 | related:1 | big:1 | philosophical:1 | sensitive:1 | particular:1 | same:1 | main:1 | specific:1,history:1 | niche:1 | trend:1 | nonfiction:1,"Just digging into broad topics and synthesising ideas . || I use it for everything from brainstorming topic ideas and page outlines through to feeding it prompts to generate content . || I generally have the main idea already in mind , but I use AI to expand on a topic , or help brainstorm related ideas . || This results in having to keep track of lots of practical details like the amount of time it takes to travel between places , probable weather conditions , the progression of moon phases , etc. , as well as having to research topics I 'm not familiar with to make sure I 'm representing them with sufficient accuracy ."
article,obj:17 | nmod:14 | conj:7 | obl:6 | nsubj:3 | compound:2 | root:1,write:6 | read:4 | feed:3 | link:2 | send:1 | use:1 | cover:1 | have:1 | deliver:1 | miss:1 | add:1 | revolve:1,general:2 | competitive:1 | multiple:1 | such:1 | finish:1 | complete:1 | live:1 | how:1 | own:1 | more:1 | informational:1 | short:1,blog:2 | knowledge:1 | ghost:1 | writing:1 | non-fiction:1 | magazine:1 | newspaper:1,"I was just sending through articles from the composer and suggesting other connections that might be considered . || My creative work is largely centred on writing SEO web content and articles , which involves using keywords to produce content that will help websites rank in search results . || In the past , I 'd do a Google search and check links and read general articles to get an overview point and then start doing the deeper research from there , so AI is essentially doing that initial Google search and general reading and compiling it for me . || I spend less time clicking links and reading general knowledge articles to compile basic information during the research phase of writing ."
field,obl:19 | nmod:17 | obj:6 | nsubj:3 | nsubj:pass:2 | root:1 | conj:1 | compound:1,enter:2 | create:2 | replace:2 | seem:1 | put:1 | work:1 | integrate:1 | have:1 | consider:1 | reboot:1 | benefit:1 | increase:1,creative:11 | certain:2 | specific:1 | homogenous:1 | semantic:1 | professional:1 | different:1,playing:2 | art:1 | base:1 | marketing:1 | hobby:1,"Specifically the fields of editing and writing seem to be the most at risk . || I do think a big , big problem with any creative field is the question of authenticity , however . || I do worry that the prevalence of AI devalues the hard work that creatives may put into their field . || In the field in general , I 'm super concerned about the use of AI to write stories and design book covers ."
element,obj:20 | nmod:8 | conj:7 | obl:5 | nsubj:5 | root:1 | acl:relcl:1 | compound:1 | dislocated:1 | ccomp:1,add:3 | create:3 | have:2 | come:2 | rob:1 | become:1 | past:1 | go:1 | get:1 | pull:1 | make:1 | do:1,human:7 | other:3 | important:3 | creative:2 | certain:2 | crucial:1 | key:1 | different:1 | usual:1 | historical:1 | tedious:1 | personal:1,design:4 | background:2 | creativity:1 | fiction:1 | house:1 | envato:1 | UI:1 | performance:1,"Writing the rhythms and melodies by hand is the crucial human element . || This is ok for finding a vibe , but again , I think taking * creative * direction from it is a mistake , because it robs the human creativity element that makes art interesting . || They 're not currently advanced enough to be really useful for script writing , on screen graphic design , or other key creative elements . || I could then ask for different versions of the statement , fine - tuning it by adding and subtracting different elements ."
page,obl:18 | obj:15 | nmod:7 | conj:4 | compound:3 | acl:relcl:1 | appos:1,create:4 | stare:3 | write:2 | have:2 | get:2 | colore:1 | generate:1 | browse:1 | google:1 | request:1 | dread:1 | output:1,blank:5 | multiple:1 | few:1 | messy:1 | social:1 | different:1 | main:1 | entire:1 | final:1 | large:1,coloring:7 | landing:5 | web:2 | book:1 | amazon:1 | screenplay:1 | notion:1 | client:1 | Wiki:1 | ad:1 | search:1,"A typical project for me is a content request from a project manager , which will be for a specific client and requires a certain number of pages of content to be written . || I use it for everything from brainstorming topic ideas and page outlines through to feeding it prompts to generate content . || I needed to write 12 pages of content for a legal client . || And , color palettes , when I 'm coloring pages for comics and I might need help with generating a mood palette for the page , it 's very good for that as well ."
creativity,obj:20 | nmod:7 | conj:6 | nsubj:5 | obl:4 | compound:3 | nsubj:pass:2 | root:1 | nsubj:outer:1,keep:2 | lose:2 | have:2 | take:2 | replace:1 | be:1 | triumph:1 | enhance:1 | diminish:1 | feed:1 | spark:1 | use:1,human:12 | own:4 | more:2 | flawed:1 | amazing:1 | personal:1 | true:1,AI:1,"This is ok for finding a vibe , but again , I think taking * creative * direction from it is a mistake , because it robs the human creativity element that makes art interesting . || But I wo n't let it replace my own creativity - that would be very unsatisfying . || So , I felt super guilty at first , because I want to make "" real "" art , using my own ideas , designs , creativity , my own hand drawing the artwork . || I admit that there is creativity in formulating prompts to give generative AI so that the end result is the best it can possibly be ."
kind,advmod:17 | obj:12 | nsubj:4 | obl:4 | conj:3 | appos:2 | nmod:2 | root:2 | nsubj:outer:1 | obl:unmarked:1,do:4 | create:3 | know:2 | get:2 | need:1 | bounce:1 | use:1 | work:1 | add:1 | expose:1 | mention:1 | make:1,particular:1 | same:1 | bad:1 | many:1,drama:1 | scenario:1,"It 's kind of an "" ill know it when I hear it "" thing , so I just want it to throw lots of ideas at the wall . || Now , I somewhat trust AI to know that kind of stuff for me and let me know through the refinement process . || It was fun to do this kind of experiment , as I like writing . || I 'm telling it where to place the shadows , what kind of perspective to use , whether to use flat 2D icons or isometric perspectives ."
result,obj:19 | obl:13 | nsubj:10 | nmod:3 | nsubj:outer:1 | obl:agent:1 | conj:1,get:7 | like:3 | have:3 | end:2 | give:2 | produce:2 | use:2 | rank:1 | adjust:1 | find:1 | lack:1 | floor:1,good:3 | initial:1 | different:1 | more:1 | consistent:1 | new:1 | realistic:1 | first:1 | finish:1 | genuine:1 | desire:1 | quick:1,search:3 | end:3 | quality:1,"My creative work is largely centred on writing SEO web content and articles , which involves using keywords to produce content that will help websites rank in search results . || Likewise , as a result , I sometimes end up creating supplementary graphics , concept art , etc , while worldbuilding . || And even if you do n't like something , it 's quick and easy to adjust the initial result without having to rely on someone else . || I admit that there is creativity in formulating prompts to give generative AI so that the end result is the best it can possibly be ."
text,nmod:15 | obj:12 | compound:7 | obl:6 | nsubj:4 | conj:2 | obl:agent:1,make:2 | become:1 | tweak:1 | extract:1 | create:1 | tell:1 | type:1 | base:1 | recommend:1 | help:1 | split:1 | design:1,coherent:1 | warp:1 | interesting:1 | unique:1 | finish:1 | passable:1 | fluid:1,layering:1 | critique:1 | replacement:1 | AI:1,"We 've also tried using it for things like generating graphics for internal comms like event invitations , but it did n't work too well for that - I have n't found an AI model that 's capable of producing a document with both coherent text and strong images together yet . || I think it would be the same for more truly creative tasks like graphic design as well , but it 's harder to get the necessary level of control over AI produced images than it is for text . || The AI would forget some information in the lore , or it would misinterpret something said in the main body of text . || AI likewise has the capability to put out immense volumes of text , very quickly ."
sense,obj:30 | obl:9 | nmod:3 | advcl:1 | nsubj:1 | conj:1 | root:1,make:22 | feel:2 | have:2 | give:2 | be:1 | lower:1 | help:1 | appreciate:1 | change:1 | talk:1 | get:1 | remove:1,typical:1 | general:1 | much:1 | administrative:1 | traditional:1 | good:1,,"The model had to make sense of these notes and try to put them together in a coherent narrative . || Does that make sense ? || It feels as there would be a sense of plagiarism and AI created art rather than human design . || While it 's definitely more casual than this in a typical sense , I do feel as though I already have the specific vison that the model is helping me work through ."
film,compound:15 | conj:9 | obl:5 | nsubj:5 | nmod:4 | obj:4 | appos:2 | root:1 | advcl:1,use:2 | be:2 | make:2 | edit:2 | write:1 | generate:1 | shoot:1 | compose:1 | watch:1 | require:1 | involve:1,short:3 | recent:1 | Black:1 | gay:1 | win:1 | animated:1 | independent:1,feature:6 | handmade:1 | motion:1,"That means I write music for film , tv , video artwork , installations , etc . || This was n't a client project but I 've been using AI to critically analyse film scores . || Basically I 've been asking AI to help write out an essay on something like the film Arrival and what made the score by Johannsson so unique . || I work in production management for high end TV and film ."
asset,obj:18 | nmod:6 | compound:6 | obl:6 | nsubj:4 | conj:3 | nsubj:pass:1 | root:1,create:8 | generate:3 | draw:2 | look:2 | come:1 | design:1 | use:1 | put:1 | include:1 | oversaturate:1 | shift:1 | output:1,generate:4 | ready:4 | creative:2 | own:1 | specific:1 | many:1 | big:1 | actual:1 | create:1 | reliable:1 | great:1,map:2 | D:1 | game:1 | production:1 | business:1,"I also create my own fantasy map assets ( such as mountains , icons , trees , really anything you might find on a fantasy map ) and sell them on [ REDACTED ] , on Etsy , and a marketplace for map assets . || Then the map asset projects are a bit different , as I do this on my own schedule . || I 'll come up with a pack theme ( such as pirates , medieval , isometric cities , etc ) and make a list of assets and a rough count of each to include . || I 'll then draw the assets on Procreate , export them to my PC , organize and name the files , create product listing images and promos for them , then upload them to the appropriate markets ."
author,nmod:11 | nsubj:10 | root:6 | obj:5 | compound:4 | obl:4 | conj:1 | obl:agent:1 | iobj:1 | xcomp:1 | csubj:1,have:3 | give:2 | want:2 | help:2 | use:1 | send:1 | let:1 | write:1 | make:1 | mean:1 | analyze:1 | sound:1,independent:3 | other:2 | publish:2 | accomplish:1 | most:1 | freelance:1 | real:1 | live:1 | many:1 | human:1 | popular:1 | multi:1,-genre:1,"I run a small business / hobby ( technically a business , since I make money from it and treat it as a business ) doing fantasy map commissions for independent authors and DnD players . || But it wo n't have the deeper nuances that only a human can weave throughout the story - the slow burn emotional response a reader might feel from reading a book by an accomplished author . || So I have a side job / hobby / hustle creating marketing materials for authors that they can use in promotions , like images or videos , all AI generated . || My most recent project was to generate some clips with AI and then put those together to make a mini trailor or ' vibe reel ' for a thriller novel set in rio de janeiro , so the author could use it as a banner on the books amazon page ."
assistant,obl:11 | nsubj:11 | obj:8 | compound:4 | nmod:4 | conj:3 | xcomp:2 | root:1 | advcl:1,have:5 | use:3 | find:2 | feel:2 | help:2 | become:1 | gather:1 | love:1 | offer:1 | make:1 | get:1 | invest:1,personal:2 | true:1 | many:1 | organised:1 | helpful:1 | useful:1 | pay:1 | esque:1 | executive:1,AI:11 | artist:1 | research:1 | admin:1 | writing:1,"However , I 'm making a conscious effort to continue my education , so I 'm using AI as a true assistant and not crutch . || The more advanced the models become the more intuitive of a personal artist assistant I will have . || Of course , I imagine that an AI assistant , especially the modern ones , can be a better sounding board now , since many can parse images . || Now that assistants are becoming more conversational , it 's easier to find those connections or "" tip of my tongue "" ideas that you ca n't immediately name ."
inspiration,obj:16 | obl:13 | nmod:6 | conj:6 | compound:3 | nsubj:1,use:6 | wait:3 | get:3 | give:3 | search:2 | take:2 | create:2 | gain:1 | ask:1 | have:1 | feel:1 | turn:1,human:1 | visual:1 | creative:1,design:2 | AI:1,"But , I figured that I 'm not stealing work , I 'm not using the images themselves as the assets , and I 'm only using the images as inspiration instead of the end product . || I do n't think AI is a substitute for human inspiration and creative expression . || Generally if I 'm really stuck somewhere I might use it as inspiration to move forward in the project in a way I had n't previously thought of . || I have found it most useful as a starting point in my own work , it saves me time from searching for inspiration on a broader canvas and instead delivers more quickly the sort of thing I 'm looking for ."
end,compound:19 | obl:17 | nmod:3 | root:2 | nsubj:1 | ccomp:1 | obl:agent:1,feel:1 | include:1 | peel:1 | ask:1 | do:1 | stay:1 | decide:1 | think:1 | work:1 | lose:1 | get:1 | end:1,high:7 | low:2 | back:1,,"I work in production management for high end TV and film . || But , I figured that I 'm not stealing work , I 'm not using the images themselves as the assets , and I 'm only using the images as inspiration instead of the end product . || I admit that there is creativity in formulating prompts to give generative AI so that the end result is the best it can possibly be . || But the end result is that I find the answers to my questions and use that to shape my writing ."
area,obl:16 | nmod:8 | obj:7 | root:6 | conj:4 | ccomp:2 | nsubj:1,have:2 | help:2 | use:2 | think:2 | save:1 | affect:1 | cover:1 | visit:1 | build:1 | compare:1 | remember:1 | spend:1,other:5 | specific:3 | many:1 | particular:1 | bountiful:1 | comedic:1 | huge:1 | suburban:1 | multiple:1 | creative:1 | third:1 | additional:1,subject:1 | inauthenticity:1 | grey:1,"AI has saved me so much time in this area . || This is the area that I think AI could be most useful in , as a new tool for skilled digital creatives to add to their arsenal , unlocking new creative opportunities . || My creative work involves designing and leading workshops for businesses in many subject areas . || Everyone ( I think ) has concerns about how AI affects their area of work , both now and in the future ."
human,nsubj:16 | nmod:9 | obj:6 | obl:6 | obl:agent:2 | ccomp:1 | nmod:poss:1 | advcl:1 | compound:1 | iobj:1,have:4 | create:2 | provide:2 | write:2 | become:1 | weave:1 | replace:1 | lose:1 | do:1 | pay:1 | view:1 | produce:1,actual:2 | many:1 | uncreative:1,,"Personally I 'm not sure an AI will ever be able to capture the same unique creative perspective that a human could have because it necessarily has to rely on data that already exists , which makes me think it would struggle to come up with something new . || I already find that AI can write better than the majority of people I know , which is great from the perspective of looking for a collaborative storyteller to simply toss ideas back and forth with , however , I also wonder if that 's feeding into the ongoing existential crisis of loneliness , if humans are becoming less authentic , less emotionally - intelligent because they rely too heavily on these tools . || Things that are created by a human are warmer , more beautiful , more nuanced , complex , difficult and enriching . || But it wo n't have the deeper nuances that only a human can weave throughout the story - the slow burn emotional response a reader might feel from reading a book by an accomplished author ."
quality,compound:15 | nmod:7 | nsubj:6 | obj:5 | conj:4 | obl:3 | nsubj:pass:1 | appos:1 | ccomp:1,go:2 | see:2 | rewrite:1 | degrade:1 | vary:1 | enhance:1 | lead:1 | lower:1 | improve:1 | give:1 | mean:1,high:4 | enough:1 | meh:1 | irreplacable:1 | human:1 | degrade:1 | same:1 | certain:1 | rise:1,writing:1,"That being said , it could be used to create lower quality "" filler "" content based on what the algorithms show is popular , which would still take jobs away from people since there is a lot of that type of streaming content being created these days . || So I think it 's a question of both quality , demand , and the potential for misplaced accusations of AI use that concern me . || I use AI to generate photographic quality images which I go on to edit in a photo editing program such as Pixlr . || Because the quality is n't there ."
