lemma,subjects_top,objects_top,xcomp_top,ccomp_top,obl_top,examples
let,I:7 | question:4 | that:2 | this:2 | they:1 | llm:1 | we:1,we:38 | I:7 | it:6 | AI:6 | they:2 | author:1 | model:1 | addition:1 | you:1 | anything:1 | piece:1 | art:1,begin:11 | go:11 | do:8 | start:6 | know:3 | say:3 | take:2 | get:1 | explore:1 | replace:1 | achieve:1 | think:1,,instance:1,"Let 's get into it . || Let 's do it ! || No , let 's get started || No questions , let 's begin"
put,I:17 | you:3 | they:2 | it:2 | creative:1 | we:1 | who:1 | he:1 | AI:1 | this:1 | person:1 | author:1,that:8 | they:5 | it:5 | lot:4 | information:3 | writing:2 | pack:2 | I:2 | amount:2 | finger:2 | volume:1 | treatment:1,,,work:3 | paper:3 | design:2 | place:2 | field:1 | pedestal:1 | occasion:1 | narrative:1 | order:1 | shoe:1 | front:1 | myself:1,"I do worry that the prevalence of AI devalues the hard work that creatives may put into their field . || AI likewise has the capability to put out immense volumes of text , very quickly . || I do think this could create a strange culture , where we put human - writing on a pedestal even on occasions where it is not objectively good ; or where people become discouraged from studying writing at all because they can just have AI do it for them and the modern world demands so much of time . || The model had to make sense of these notes and try to put them together in a coherent narrative ."
continue,I:23 | it:5 | AI:3 | process:2 | capability:1 | role:1 | we:1 | company:1 | relationship:1 | line:1 | scene:1 | storytelling:1,process:3 | education:1 | this:1 | series:1,use:13 | improve:4 | grow:3 | do:2 | utilize:2 | employ:1 | make:1 | evolve:1 | seek:1 | find:1 | train:1 | consult:1,,step:1 | path:1 | mind:1 | way:1 | stage:1 | work:1,"I find myself increasingly reaching for AI tools , especially as time goes on and its capabilities continue to improve . || My main concern is that one day my job might not exist if AI continues to improve and no longer needs human oversight , as it currently does . || I can see AI 's role continuing to grow larger as it continues to improve , saving further time and allowing for more work to be done than ever before . || That is to say , since I tend to world build in tandem with my writing ( and adjust for any potential additions ) using AI to generate "" moodboard "" pieces , or basic diagrams , can help me continue to the next step of my writing while having a simple foundation to draw upon ."
include,I:6 | which:3 | project:3 | that:3 | this:2 | entry:1 | copywriting:1 | prompt:1 | job:1 | follow:1 | question:1 | asset:1,AI:2 | project:1 | prompt:1 | era:1 | newsletter:1 | education:1 | number:1 | pre-production:1 | rule:1 | anything:1 | wealth:1 | element:1,revisit:1 | plan:1 | use:1 | explore:1,write:1,kit:2 | all:1 | story:1 | end:1 | step:1 | where:1 | life:1 | GPT:1 | writing:1,"I use AI tools every week to help me build out the basic structure of my classes , including , but not limited to , barre warmups , stretching sessions , across the floor and center exercises , music choices , and integration of practiced steps into choreography . || This involves being across the entire filming process from start to finish , including hiring other creatives like camera people , costume designers , set designers , writers and editors . || Projects vary , as I 'm always trying new things , but we do have a consistent "" Student of the Week , "" segment I prepare for all content , including OptiSigns . || Sure , follow up questions are usually included but they 're very simple , "" how 's this look ? "" type of stuff ."
produce,I:7 | that:3 | AI:2 | model:2 | they:1 | who:1 | human:1 | artist:1 | we:1 | most:1,what:4 | image:3 | music:2 | content:2 | file:2 | work:2 | writing:2 | book:2 | result:2 | word:1 | document:1 | lot:1,,,word:1 | client:1 | skill:1 | reality:1 | idea:1 | time:1 | AI:1 | fall:1 | I:1 | whole:1 | commitment:1 | process:1,"I also play guitar in a band and produce my own electronic music when I can || My creative work is largely centred on writing SEO web content and articles , which involves using keywords to produce content that will help websites rank in search results . || I 've gone from being able to produce 2000 words of polished , professional content to well over 5000 words each day || A secondary concern is that this could result in a lot of terrible AI content being produced , changing what SEO looks like"
read,I:16 | it:2 | video:1 | that:1 | who:1 | chemistry:1 | someone:1 | they:1,it:6 | article:4 | book:3 | novel:3 | that:2 | handwriting:2 | script:2 | story:2 | post:1 | passage:1 | Machine:1 | source:1,,Pov:1 | follow:1 | likely:1,example:2 | media:1 | philosophy:1 | they:1 | context:1 | subject:1 | research:1 | line:1 | again:1 | note:1 | free:1 | that:1,"It was just some clips from our beginner KB class and the video read , "" POV : You 're not Afraid to be a Beginner . "" || Before I might have googled something and read blog posts or something . || But it wo n't have the deeper nuances that only a human can weave throughout the story - the slow burn emotional response a reader might feel from reading a book by an accomplished author . || So , the authors usually send me a ' storyboard ' or general outline for what they want in the trailor , but I often use AI models to help me figure out more about the book if I have not read it , so for example I use ChatGPT or similar to break down the blub or a summary of the book , and use that to help me get the gist of the book ."
add,I:5 | that:2 | it:2 | they:1 | model:1 | which:1,detail:4 | element:3 | they:3 | lyric:2 | suggestion:2 | content:1 | realism:1 | visual:1 | picture:1 | subtext:1 | whatever:1 | comedy:1,,create:1 | exercise:1,video:2 | it:2 | section:1 | arsenal:1 | prototype:1 | product:1 | everything:1 | object:1 | background:1 | image:1 | market:1 | amount:1,"That is , it works best for me to write full instrumentals in the DAW first , then add lyrics . || Sometimes , when it comes time to add lyrics , I 'll ask ChatGPT or Claude for lists of interesting word pairings . || For example , I can ask AI to make the combination more difficult or I can ask it to add more content / time to the across the floor section of class and take it away from the barre section . || Tools like Cuebric are already being adopted for aligning real world performances with digitally created backgrounds , adding realism ."
drive,I:34 | AI:3 | who:3 | that:1 | we:1 | much:1,decision:32 | process:3 | making:2 | collaboration:2 | conversation:2 | expression:1 | bit:1 | what:1 | it:1 | arc:1 | part:1 | thing:1,important:1,,profit:1 | case:1 | example:1,"I also make sure the prompt I start with has as much information fed into it as possible , which means ultimately I 'm driving the creative decisions and simply getting AI to do what I want it to || I 'd like to think that I am driving the create decisions . || Even using larger , more intelligent models , there 's rarely a point where I 've really felt like the AI is driving the creative decision - making . || I 'm afraid that some of the discovery that drives expression could be lost ."
understand,I:13 | AI:2 | it:2 | who:2 | that:1 | we:1 | Ai:1 | person:1 | student:1,what:7 | why:4 | nuance:3 | more:3 | each:2 | something:2 | how:2 | concept:2 | term:1 | question:1 | legalese:1 | feedback:1,,feel:1 | loss:1 | ask:1 | use:1 | work:1 | lot:1 | go:1 | complex:1 | require:1,all:2 | prompt:1 | way:1 | whole:1 | I:1,"I 'm in my thirties , so old enough to be wary of AI 's current limitations , but also of the generation that understands that computers — and now , AI — are just another set of tools , just like Photoshop and Wacom tablets . || I can understand why some feel that it 's perhaps a "" threat "" to artistic endeavours and that it will replace artists in creative mediums . || Often , an internet search for the kind of obscure questions I come up with requires multiple tweaks to get the search engine to understand what I 'm going for and provide relevant links , then browsing multiple pages to get the answer I 'm looking for . || No , I understand ."
involve,project:10 | which:3 | this:3 | it:3 | that:3 | most:3 | AI:3 | I:2 | commission:1 | work:1 | product:1 | phase:1,amount:2 | level:2 | it:2 | I:2 | client:1 | pet:1 | change:1 | less:1 | brainstorming:1 | lot:1 | music:1 | image:1,record:2 | use:1 | process:1 | receive:1 | design:1 | create:1 | think:1 | go:1 | outline:1 | do:1 | take:1 | work:1,,process:2 | scene:1 | exhibition:1 | fight:1 | game:1 | grounding:1 | novel:1 | form:1 | I:1 | poetry:1 | way:1 | generation:1,"My creative work is largely centred on writing SEO web content and articles , which involves using keywords to produce content that will help websites rank in search results . || This involves being across the entire filming process from start to finish , including hiring other creatives like camera people , costume designers , set designers , writers and editors . || That , or it tends to hyperfixate on certain motifs and themes , sometimes even on incorporating characters that were made previously even though they have no reason to be involved in the current scene . || Recently I was involved in an art exhibition at a regional art gallery ."
improve,it:5 | I:4 | AI:4 | that:2 | output:2 | this:2 | model:2 | skill:1 | tech:1 | confidence:1 | tool:1 | response:1,work:3 | skill:3 | it:2 | craft:1 | project:1 | writing:1 | lighting:1 | capability:1 | content:1 | reliability:1 | speed:1 | world:1,go:1,,time:2 | then:2 | filmmaker:1 | story:1 | adult:1 | font:1 | way:1 | research:1,"I find myself increasingly reaching for AI tools , especially as time goes on and its capabilities continue to improve . || My main concern is that one day my job might not exist if AI continues to improve and no longer needs human oversight , as it currently does . || I can see AI 's role continuing to grow larger as it continues to improve , saving further time and allowing for more work to be done than ever before . || I 'm just using AI to fill the skill gaps I still have until I improve my craft enough to confidently fill those gaps on my own ."
base,which:2 | it:2 | I:1 | source:1 | that:1 | scene:1 | personality:1 | piece:1,that:2 | character:1 | design:1 | outline:1,,,app:1 | model:1 | bull:1 | year:1 | trust:1 | textile:1 | life:1 | batch:1 | description:1 | number:1 | gear:1 | image:1,"That being said , it could be used to create lower quality "" filler "" content based on what the algorithms show is popular , which would still take jobs away from people since there is a lot of that type of streaming content being created these days . || I 'd hope if this the case , it also would have well rounded hashtag generation , and could come up with hashtags based on the apps being used , and what is generating views at the time . || I asked the AI to generate a diary entry based on some brief notes that I had scribbled down while I was thinking about a whole lot of random things . || I am a contract - based graphic designer who specializes in preparing projects to print ."
spend,I:26 | who:1 | writer:1 | much:1 | time:1,time:20 | lot:9 | hour:5 | amount:2 | year:1 | turn:1 | minute:1 | most:1 | bulk:1,brainstorm:1 | train:1 | create:1 | refine:1 | learn:1 | struggle:1 | clean:1 | search:1 | do:1 | draw:1,,task:3 | hour:1 | part:1 | it:1 | day:1 | thing:1 | body:1 | novel:1 | detail:1 | book:1 | project:1 | interaction:1,"I probably spend less time brainstorming or procrastinating because it gets me started faster in that way . || I spend hours upon hours manually drum editing each song . || Before , I was spending a lot of time researching different lesson plans for each dance genre and age group . || My concerns are with people and companies trying to abuse AI by using it as a replacement for artists and creatives like myself who 've spent years training and honing our skills ."
allow,it:7 | AI:5 | that:4 | I:3 | this:3 | which:2 | we:1 | they:1 | God:1 | use:1 | pride:1 | Midjourney:1,I:25 | we:5 | it:3 | user:2 | illness:1 | level:1 | freedom:1 | out:1 | amount:1 | myself:1 | AI:1 | company:1,create:4 | focus:4 | use:3 | have:3 | get:3 | exist:2 | take:2 | expand:2 | explore:1 | spend:1 | supplant:1 | consider:1,,work:2 | person:1 | which:1 | follower:1 | AI:1 | behalf:1,"I can see AI 's role continuing to grow larger as it continues to improve , saving further time and allowing for more work to be done than ever before . || AI allows me to explore the possibilities more deeply . || I imagine that if a human VFX designer could use AI tools to automate some parts of the process , it could save a lot of time and money in what is currently an expensive and time consuming process , allowing us to create more realistic looking and exciting visual effects quicker and for less money . || Automation would really speed up the process and allow me to spend more time creating , but I just do n't know of any AI that does that yet ."
brainstorm,I:4 | they:1 | that:1,idea:16 | situation:2 | way:2 | painting:1 | approach:1 | what:1 | topic:1 | bit:1 | concept:1 | structure:1 | marketing:1 | content:1,,,draft:1 | AI:1 | own:1 | project:1 | hole:1 | episode:1 | they:1 | Ai:1 | cast:1 | research:1,"I probably spend less time brainstorming or procrastinating because it gets me started faster in that way . || When in my initial drafts , I may also brainstorm with AI in order to flesh out a scene ; specific sensory details , etc . || I 've used it for two different projects recently , one was to help brainstorm a very specific painting for a client that involved the client 's pets . || If I 'm having a hard time coming up with assets to fit in the pack I want to make , I 'll ask AI tools such as Gemini or ChatGPT to help me brainstorm some ideas ."
check,I:1 | they:1 | that:1,work:5 | it:3 | math:3 | everything:2 | some:2 | thing:2 | link:1 | grammar:1 | webpage:1 | anything:1 | idea:1 | flow:1,double:1,accurate:1,issue:1 | ps:1 | mistake:1 | tool:1 | error:1 | I:1 | bias:1 | peace:1,"I also occasionally use it for proofreading and fact checking by copying in written content to check it . || I make sure all content undergoes multiple human checks , not only to ensure there are no hallucinations , but also to check for any issues with tone and style . || I was able to use AI to composite some "" good "" grandparents together , then in Photoshop I pasted everyone in , moved some people around in front of T - shirt guy ( he was tall ) , toned down said shirt , then ran a copy of it through an AI tool to smooth some things out , then checked everything back over in PS to ensure it looked realistic , no floating hands , etc . || That , and as I wrote previously , there are some who do take what AI says as gospel and they fail to fact - check or inspect the output for mistakes ."
learn,I:12 | AI:5 | who:2 | it:1 | they:1 | we:1 | you:1 | humanity:1,how:7 | thing:2 | writing:2 | tap:1 | style:1 | trade:1 | something:1 | that:1 | science:1 | subject:1 | more:1 | it:1,read:1 | use:1 | attempt:1 | work:1 | write:1 | deal:1 | generate:1 | trust:1 | coexist:1 | leverage:1,unlikely:1 | need:1 | bright:1 | serve:1 | something:1 | easy:1,week:1 | generation:1 | thing:1 | myself:1 | job:1 | AI:1 | creative:1 | from:1 | each:1 | video:1 | go:1 | someone:1,"On a weekly basis , I am coming up with lesson plans for children who are learning tap , jazz , and ballet . || Something else that is very important is that the lesson plans should expand upon each other - skills learned in the previous week should be reviewed and increased in difficulty . || Additionally , I would love ( and not be surprised ) if AI could eventually learn my choreography style and apply that to what it tells me . || I think it will also create a higher barrier for entry for people who want to learn those trades since they 'd have to develop their skills to the point that they can outcompete an AI before they can even get their first job , which may not be feasible for people from lower income backgrounds ."
save,it:12 | I:4 | AI:3 | this:3 | that:2 | Gemini:1 | time:1,time:21 | I:17 | lot:6 | bit:3 | amount:1 | ton:1 | buck:1 | cat:1 | that:1 | embarrassment:1 | money:1 | they:1,,,research:2 | area:1 | task:1 | what:1 | labor:1 | work:1 | time:1 | illustration:1,"I felt positive about the experience , as using AI helped me achieve a consistent tone and saved a lot of time from having to research things and write from scratch || The biggest change is the time I now save and therefore a better output . || I can see AI 's role continuing to grow larger as it continues to improve , saving further time and allowing for more work to be done than ever before . || AI has saved me so much time in this area ."
begin,I:9 | project:3 | this:2 | you:1 | career:1 | writer:1 | question:1 | AI:1,research:1 | that:1 | kit:1 | process:1,work:2 | integrate:1 | think:1 | capability:1 | use:1 | realize:1 | alter:1 | find:1 | hallucinate:1,,with:5 | question:2 | month:1 | AI:1 | some:1 | thing:1 | page:1 | objective:1 | outline:1 | moment:1,"Over the past 6 months , I began to work closely with the social media side of things at my Martial Arts locations ( they 're sister schools ) . || Right now , we 're primarily focused on Meta apps ( Instagram and Facebook ) but I do light work on Google Business and have recently begun to integrate our reels over to TikTok . || No questions , let 's begin || Brute forcing image generations can help with that , so I can at least begin to think , "" yes perhaps they would style their hair that way "" or the shape and color of their eyes ."
mean,it:8 | this:6 | I:6 | which:5 | that:3 | you:3 | she:2 | output:1 | nature:1 | desire:1 | gravity:1 | presence:1,what:2 | lot:2 | XYZ:1 | output:1 | x:1 | person:1 | job:1,appear:1 | engage:1 | author:1 | do:1 | provide:1 | be:1 | say:1 | create:1,have:4 | create:2 | use:2 | receive:2 | write:1 | drive:1 | focus:1 | downplay:1 | feel:1 | become:1 | zealous:1 | able:1,grain:1 | use:1 | money:1 | visual:1 | example:1,"That means I write music for film , tv , video artwork , installations , etc . || I also make sure the prompt I start with has as much information fed into it as possible , which means ultimately I 'm driving the creative decisions and simply getting AI to do what I want it to || This means that I create a short piece of chorography in each of the styles that are tailored to the students ' level , the choreographic style I 'm going for , and sometimes other factors such as the time of year . || I have used AI for complete creative output for things like , say , when a relative wants a logo for their business that looks very "" painterly "" — not my forte , but they are also less aware of what is AI - generated , so a good AI output plus some touchups in Photoshop means that I do n't have to expend as much effort for projects that are either unpaid or involve multiple changes if the "" client "" does n't know what they want ."
run,I:25 | you:1 | machine:1 | who:1 | it:1,that:3 | it:3 | business:2 | campaign:2 | thing:2 | game:2 | show:1 | copy:1 | variation:1 | idea:1 | they:1 | class:1,smooth:1 | crazy:1,,it:3 | AI:2 | tool:1 | friend:1 | her:1 | reader:1 | studio:1 | this:1 | player:1 | person:1 | Neverwinter:1 | level:1,"I pretty much run the show , I come up with content ideas , film , edit , generate captions / hashtags , post and even respond to comments . || Still , in terms of the authenticity of character portrayals or its ability to create a scene , there are times I 'd find myself pleasantly surprised by how it took the loose fundamentals of a world I gave it and ran with it . || I run a small business / hobby ( technically a business , since I make money from it and treat it as a business ) doing fantasy map commissions for independent authors and DnD players . || I was able to use AI to composite some "" good "" grandparents together , then in Photoshop I pasted everyone in , moved some people around in front of T - shirt guy ( he was tall ) , toned down said shirt , then ran a copy of it through an AI tool to smooth some things out , then checked everything back over in PS to ensure it looked realistic , no floating hands , etc ."
mention,I:26 | that:2 | it:1 | you:1 | location:1,that:3 | streamer:1 | movie:1 | fact:1 | point:1 | factor:1 | something:1,include:1,use:1 | take:1 | freelancer:1,passing:2 | you:1 | video:1 | answer:1 | AI:1 | model:1,"Oh I should mention I also use some machine learning mixing plugins like iZotope Ozone and Sonible Smart :EQ . || It did also suggest I gave it a section of my text for it to re-write in a more immersive way , but as already mentioned , that 's not something I do . || The main issue I have with these AI apps , as I mentioned before , is that they are simply useless to me as a composer once I get past the brainstorming stage . || I most look forward to AI getting better at helping me with the admin stuff I mentioned earlier , though ."
love,I:33 | member:1 | client:1 | you:1 | reader:1 | llm:1 | they:1,it:2 | writing:2 | humankind:1 | reading:1 | aspect:1 | option:1 | you:1 | idea:1 | moment:1 | act:1 | research:1 | work:1,able:6 | do:2 | level:1 | get:1 | feel:1 | have:1 | use:1 | remove:1 | write:1,,future:1 | year:1 | assistant:1 | particular:1 | above:1 | generation:1 | scenario:1,"Additionally , I would love ( and not be surprised ) if AI could eventually learn my choreography style and apply that to what it tells me . || I love humankind , but we are famous for taking positive things and using them negatively . || I also would love to level up some of my video editing . || Overall , I really enjoyed the process of generating the statement , since I love reading and writing ."
develop,I:11 | they:1 | it:1 | structure:1 | AI:1,idea:2 | character:2 | style:1 | skill:1 | planet:1 | presentation:1 | AI:1 | template:1 | system:1 | episode:1 | inspiration:1 | story:1,,,point:1 | set:1 | part:1 | it:1 | something:1 | poetry:1 | pilot:1 | setting:1 | particular:1 | place:1 | harmony:1 | creativity:1,"I am developing my own choreography style , which is a slow process . || I think it will also create a higher barrier for entry for people who want to learn those trades since they 'd have to develop their skills to the point that they can outcompete an AI before they can even get their first job , which may not be feasible for people from lower income backgrounds . || But however big / long the project , they all go through similar phases of developing an idea ; doing some pre-writing research , world - building , character development , initial plot development ; the writing itself , which often includes revisiting earlier stages ; an editing / revision / rewrite stage ; and the final polish stage of editing . || I had developed a planet with a specific set of characteristics that I needed for the purpose of the story , but it was not Earth - like , so I asked AI to help me determine things like weather and day / night cycles and what color the sky would be and , most importantly , what other things might be different which I had n't even thought about ."
happen,that:9 | this:5 | it:2 | what:2 | llm:1 | event:1 | procedure:1 | former:1 | latter:1 | conversation:1 | thing:1,that:1,propagate:1,,it:2 | chapter:2 | country:1 | advert:1 | that:1 | writing:1 | eye:1 | marketplace:1 | year:1 | time:1 | now:1 | point:1,"It 's far too easy for people to accuse someone of using AI in their writing over seemingly arbitrary metrics that the LLM just so happens to propagate . || That 's still happening , and while quite hilarious , it can be equally frustrating when there 's a deadline present . || I was writing in first - person POV but events were happening around the country ( riots , looting , society breaking down ) . || As it happened , my protagonist is a reporter which lends itself quite well to this ."
focus,I:10 | we:2 | work:2 | who:1,more:5 | keyword:1 | work:1 | research:1,,,work:3 | aspect:3 | scenario:2 | past:2 | detail:1 | app:1 | on:1 | symbolism:1 | poetry:1 | writing:1 | process:1 | in:1,"I am able to focus more on small details . || They are very helpful for things like drafting memos or research into e.g. different eras of fashion for costume design , which frees up more time to focus on creative work . || Right now , we 're primarily focused on Meta apps ( Instagram and Facebook ) but I do light work on Google Business and have recently begun to integrate our reels over to TikTok . || It has created a ton of efficiency for me so I can focus on my favorite aspects of the job ( filming and editing )"
pay,I:6 | person:3 | they:3 | you:2 | client:1 | that:1 | some:1,attention:3 | I:3 | writer:2 | $:2 | which:1 | designer:1 | plenty:1 | human:1 | photographer:1 | that:1 | more:1 | work:1,create:1 | develop:1 | do:1 | have:1 | write:1,,instruction:1 | work:1 | video:1 | artist:1 | for:1 | round:1 | day:1 | what:1 | subscription:1 | all:1 | designer:1 | person:1,"Planning so many classes each week takes so much time , which I do not get paid for ( I only get paid for in - person instruction ) . || Perhaps they ca n't afford to pay a graphic designer so they just turn to AI . || There was pushback when these things became available to artists and designers , now people pay plenty for a good digital artist . || It makes it harder to convince people to pay for commissioned work when they can just upload an image and ask it to make something that looks like that with their changes ."
finish,I:5 | it:1 | you:1,it:3 | book:2 | project:2 | they:2 | script:1 | thing:1 | novel:1 | idea:1,nice:1,,hour:2 | fiddling:1 | edit:1 | minute:1 | amount:1 | prompt:1,"Likewise , while I might incorporate AI into my workflow , I would never use it to generate any part of a finished piece , only in the most barebone , rough - drafting stages . || I used AI to generate images of what the paintings would look like finished . || But I 'm not sure I 'd be comfortable uploading a finished piece of work of that length to a model . || I write a lot in my own time and have finished a few ( unpublished ) books ."
struggle,I:19 | it:5 | they:3 | o3:1 | AI:1 | model:1,,come:3 | do:1 | give:1 | write:1 | think:1 | identify:1 | create:1 | understand:1 | achieve:1 | explain:1,format:1,title:2 | how:2 | instruction:2 | fact:1 | inauthenticity:1 | ending:1 | system:1 | spelling:1 | copy:1 | wording:1 | blog:1,"Personally I 'm not sure an AI will ever be able to capture the same unique creative perspective that a human could have because it necessarily has to rely on data that already exists , which makes me think it would struggle to come up with something new . || My ADHD brain just goes lol ) but it struggles to do the same for short , punchier captions . || Often , I try to seed potential points forwards in my responses , things that could be investigated , dialogue that could be continued , and while it excels at the dialogue and has , over time , gotten better at picking up on context clues or symbolism , it still struggles to give the impression of "" agency "" when left to its own devices . || I wrote up the description , but I was struggling with a catchy title ( as I often do ) ."
hope,I:33,,move:1 | find:1 | work:1 | keep:1 | use:1,able:3 | answer:2 | have:1 | remain:1 | evolve:1 | lower:1 | correct:1 | helpful:1 | want:1 | objective:1 | end:1 | help:1,future:1 | year:1,"With an overseas move coming up though , I wo n't have the same access to my current home studio , so I 'm hoping to move towards doing more mixing projects , exclusively . || I 'd hope if this the case , it also would have well rounded hashtag generation , and could come up with hashtags based on the apps being used , and what is generating views at the time . || I really hope that cultural competency remains important in the development of creative AI . || I hope that answers your question ."
sell,I:12 | store:1 | Steven:1 | client:1,that:3 | print:3 | they:2 | product:2 | book:2 | sort:1 | image:1 | content:1 | artwork:1 | furniture:1 | project:1 | graphic:1,,,Etsy:2 | Redacte:1 | on:1 | $:1 | event:1 | letter:1 | person:1,"Everyone and their mother has a plugin company selling some sort of "" fix all "" solution to "" make your beats slap . "" || I also create my own fantasy map assets ( such as mountains , icons , trees , really anything you might find on a fantasy map ) and sell them on [ REDACTED ] , on Etsy , and a marketplace for map assets . || A lot of artwork on Etsy ( a marketplace I sell on ) is AI - generated , and I 've seen people online criticize the use of AI for artwork in general . || I 'm not generating artwork in 2 seconds just to turn around and sell that same image on Etsy for $ 3 as if I 'm the artist ."
thank,nothing:1,you:34 | card:1,,,time:2 | conversation:1,"Nothing else , thank you || I enjoyed getting to talk about this , thank you :) || No , nothing in particular at the moment , thank you ! || Thank you !"
fit,that:6 | it:5 | AI:2 | name:1 | idea:1 | outline:1 | plan:1 | piece:1,need:4 | purpose:2 | voice:2 | map:1 | matter:1 | how:1 | that:1 | budget:1 | what:1 | feel:1 | style:1 | theme:1,oversize:1,,pack:1 | history:1 | shoe:1 | front:1 | space:1 | visual:1 | narrative:1 | image:1 | layout:1 | process:1 | stage:1 | constraint:1,"Then it 's up to me to decide if I want to keep them , or if I want to change them in some way to fit my purposes . || If I 'm having a hard time coming up with assets to fit in the pack I want to make , I 'll ask AI tools such as Gemini or ChatGPT to help me brainstorm some ideas . || I just recently started a pack of assets using an old inky style of art to fit antique fountain pen -drawn maps throughout history . || For my writing and publishing , I typically use AI quite a bit in the research phase , especially in searching out bible verses or passages that fit the material / subject matter , and especially finding verses that are n't as commonly used for what I 'm writing about ."
seem,that:8 | it:6 | AI:2 | I:2 | field:1 | lot:1 | viewer:1 | person:1 | company:1 | result:1,,get:3 | do:2 | think:2 | work:2 | risk:1 | dependant:1 | reasonable:1 | help:1 | damaging:1 | promising:1 | flow:1 | daunting:1,have:1 | iteration:1 | creation:1,advent:1 | fit:1,"I have n't seen any AI drum editors / quantizers , or vocal editors , but that seems like it should be possible , too . || AI seems to do that for me . || Specifically the fields of editing and writing seem to be the most at risk . || I 've experienced similar things using Suno .AI : regardless of the prompt , a lot of the final output seems to be heavily dependant on a random seed ."
lose,I:5 | person:2 | who:2 | some:2 | human:1 | thousand:1 | you:1 | it:1 | kid:1 | we:1 | what:1 | creativity:1,job:4 | track:4 | focus:1 | interest:1 | talent:1 | tone:1 | touch:1 | lot:1 | creativity:1 | heart:1 | weight:1 | time:1,,,AI:2 | context:1 | closing:1 | art:1 | end:1 | process:1 | it:1 | otherwise:1,"What normal people might recognize as a Chekov 's gun or foreshadowing often is lost to the AI , amidst all the other context that it is fed . || I 'm afraid that some of the discovery that drives expression could be lost . || I would say I have almost exclusively been directing it , and found that to be the number one pain point in terms of my direction being lost from say prompt to image generation or image editing . || I have a tendency to get stuck on certain elements like that , and I lose focus and motivation ."
require,that:5 | it:4 | I:3 | work:1 | search:1 | both:1 | film:1 | one:1 | composition:1 | model:1 | overhaul:1 | which:1,lot:7 | number:1 | shot:1 | amount:1 | tweak:1 | skill:1 | time:1 | use:1 | way:1 | I:1 | writer:1 | knowledge:1,use:1,look:1,how:1 | time:1,"A typical project for me is a content request from a project manager , which will be for a specific client and requires a certain number of pages of content to be written . || Sometimes it would be a struggle for me with really complicated scene layouts that require intense perspective shots . || Right now , I do n't fully trust it to edit a work to completion , and its design work often requires a fair amount of oversight and re-tooling to get right . || Often , an internet search for the kind of obscure questions I come up with requires multiple tweaks to get the search engine to understand what I 'm going for and provide relevant links , then browsing multiple pages to get the answer I 'm looking for ."
believe,I:24 | person:2 | we:1 | that:1 | you:1 | who:1,which:2 | anything:1 | sycophancy:1 | accusation:1 | it:1,mistake:1,able:3 | have:2 | cover:2 | help:2 | be:1 | real:1 | ready:1 | continue:1 | make:1 | dead:1 | need:1 | art:1,many:1 | discernment:1 | term:1 | end:1,"My work has n't changed , I do n't believe . || I do n't believe that AI has a place in many creative spaces . || I do n't believe there 's any sense in being a luddite in day - to - day commercial work . || Also , will we enter a time where we ca n't believe anything we see is real and must assume it is AI generated ?"
move,I:8 | it:1,forward:2 | person:1 | more:1 | way:1 | it:1 | they:1 | head:1,slow:1,,scene:3 | front:1 | that:1 | project:1 | way:1 | view:1 | something:1 | plot:1 | level:1 | designer:1 | elaboration:1 | phase:1,"With an overseas move coming up though , I wo n't have the same access to my current home studio , so I 'm hoping to move towards doing more mixing projects , exclusively . || So for this in particular I was asking the AI to assume the role of various characters , each with their own unique goals , each one of them a moving part in this little microcosm . || It takes a lot of careful handholding , to get the AI moving progressively forwards . || I was able to use AI to composite some "" good "" grandparents together , then in Photoshop I pasted everyone in , moved some people around in front of T - shirt guy ( he was tall ) , toned down said shirt , then ran a copy of it through an AI tool to smooth some things out , then checked everything back over in PS to ensure it looked realistic , no floating hands , etc ."
refine,I:2 | that:1,idea:2 | it:2 | perspective:1 | description:1 | design:1 | suggestion:1 | thought:1 | implication:1 | balance:1 | writing:1 | result:1 | they:1,,,draft:1 | work:1 | AI:1,"It was fun but also it helped me refine my own perspective somewhat . || Hopefully it 'll be able to help me refine my ideas and speed up my workflow . || I also use VidIQ and YouTube 's AI tools to assist me with refining my video descriptions and titles . || I see it becoming more refined so that the process of generating reference images , color palettes , and composition layouts becomes more streamlined ."
design,I:10 | one:2 | project:2 | who:1 | most:1 | that:1 | AI:1,logo:3 | image:2 | artwork:2 | layout:1 | map:1 | asset:1 | thing:1 | banner:1 | workshop:1 | cover:1 | Mum:1 | this:1,encourage:1 | coordinate:1 | mimic:1,,hand:1 | business:1 | bottle:1 | space:1 | all:1 | person:1 | office:1 | aesthetic:1 | into:1 | event:1 | title:1 | crafter:1,"Another project I used it for was to help design a book cover layout that I was pressed for time to illustrate . || They fill out the details regarding the map , and I correspond with them before , during , and after designing the map . || Then , when I 'm designing the assets , I will ask a generative AI program to bulk create the assets I want to include . || I 'm worried that the AI - generated assets will oversaturate the market and take exposure away from creators who design things by hand ."
